LD50,Mortality
0.000480939,0.5
0.00025906,0.5
0.000135828,0.5
0.000561613,0.5
0.124096801,0.5
8.12606E-05,0.5
0.043947244,0.5
0.003396962,0.5
0.065651641,0.5
0.000177634,0.5
0.00021555,0.5
0.000252965,0.5
0.000291122,0.5
0.101830486,0.5
0.000473378,0.5
0.001108789,0.5
0.000196569,0.5
0.008186649,0.5
0.002364019,0.5
0.007289728,0.5
0.149005428,0.5
0.002980385,0.5
