"","Percentile","HC.Value","HC.Upper.CI","HC.Lower.CI","Distribution","Data.ID"
"1",0.01,0.545186910098846,1.00428796603137,0.288651532401162,"llogis","Glyphosate.LC01"
"2",0.05,0.778148787317637,1.20287501383636,0.49963135238195,"llogis","Glyphosate.LC01"
"3",0.1,0.914130126565785,1.37435152192829,0.640118515540893,"llogis","Glyphosate.LC01"
"4",0.15,1.00998137711026,1.4196461507057,0.724483207828145,"llogis","Glyphosate.LC01"
"5",0.2,1.08872380831885,1.48788929607562,0.794952782708117,"llogis","Glyphosate.LC01"
"6",0.25,1.15836950062524,1.54526533436751,0.873705509956456,"llogis","Glyphosate.LC01"
"7",0.3,1.22284721665756,1.6177449303665,0.923256569393392,"llogis","Glyphosate.LC01"
"8",0.35,1.28451469022055,1.66426015629275,0.964897091408268,"llogis","Glyphosate.LC01"
"9",0.4,1.3450280990787,1.76505723943211,1.01356503395903,"llogis","Glyphosate.LC01"
"10",0.45,1.40572959660622,1.84608207909812,1.09478830452065,"llogis","Glyphosate.LC01"
"11",0.5,1.46786530821354,1.86228684890862,1.13754609745368,"llogis","Glyphosate.LC01"
"12",0.55,1.53274752716215,2.0120093157546,1.18179360986567,"llogis","Glyphosate.LC01"
"13",0.6,1.60192085543244,2.10489578122418,1.23320868673391,"llogis","Glyphosate.LC01"
"14",0.65,1.67738724941081,2.19310923968228,1.27317659985255,"llogis","Glyphosate.LC01"
"15",0.7,1.76197691232935,2.33365685774853,1.31637734464204,"llogis","Glyphosate.LC01"
"16",0.75,1.86005291221311,2.48419146435167,1.38494863558581,"llogis","Glyphosate.LC01"
"17",0.8,1.97904054875394,2.7503527892787,1.41788381654143,"llogis","Glyphosate.LC01"
"18",0.85,2.1333349424933,2.93786077030872,1.51367558577872,"llogis","Glyphosate.LC01"
"19",0.9,2.35702609556405,3.3915929077774,1.63763051245904,"llogis","Glyphosate.LC01"
"20",0.95,2.76891591707553,4.44948310990582,1.75659311283997,"llogis","Glyphosate.LC01"
"21",0.99,3.95209151787261,7.18792585928811,2.12449793553281,"llogis","Glyphosate.LC01"
