"","Simulation","PosteriorProbs","Model"
"91","exp_n107.posterior_probs",0.130017694082543,"gamma"
"92","exp_n107.posterior_probs",0.0621068856760523,"hill"
"93","exp_n107.posterior_probs",0.21076157292208,"log-logistic"
"94","exp_n107.posterior_probs",0.18164664260136,"log-probit"
"95","exp_n107.posterior_probs",0.134216886728572,"logistic"
"96","exp_n107.posterior_probs",0.0020411179474119,"multistage"
"97","exp_n107.posterior_probs",0.152323073381978,"probit"
"98","exp_n107.posterior_probs",0.0304827183004233,"qlinear"
"99","exp_n107.posterior_probs",0.0964034083595799,"weibull"
"100","exp_n108.posterior_probs",0.0782126163308854,"gamma"
"101","exp_n108.posterior_probs",0.0712010416032054,"hill"
"102","exp_n108.posterior_probs",0.136350299154293,"log-logistic"
"103","exp_n108.posterior_probs",0.122073279627819,"log-probit"
"104","exp_n108.posterior_probs",0.0348417686575778,"logistic"
"105","exp_n108.posterior_probs",0.00733738265122746,"multistage"
"106","exp_n108.posterior_probs",0.157771142535362,"probit"
"107","exp_n108.posterior_probs",0.323311670741058,"qlinear"
"108","exp_n108.posterior_probs",0.0689007986985714,"weibull"
"109","exp_n109.posterior_probs",0.0731197289726517,"gamma"
"110","exp_n109.posterior_probs",0.0854371420713933,"hill"
"111","exp_n109.posterior_probs",0.0939199046745864,"log-logistic"
"112","exp_n109.posterior_probs",0.146774697878069,"log-probit"
"113","exp_n109.posterior_probs",0.0500170611719524,"logistic"
"114","exp_n109.posterior_probs",0.0116002792673153,"multistage"
"115","exp_n109.posterior_probs",0.160246868295129,"probit"
"116","exp_n109.posterior_probs",0.302685019228949,"qlinear"
"117","exp_n109.posterior_probs",0.0761992984399542,"weibull"
"118","exp_n11.posterior_probs",0.0630913670562119,"gamma"
"119","exp_n11.posterior_probs",0.0842467812482666,"hill"
"120","exp_n11.posterior_probs",0.147413810176742,"log-logistic"
"121","exp_n11.posterior_probs",0.151625379186125,"log-probit"
"122","exp_n11.posterior_probs",0.0677685811720304,"logistic"
"123","exp_n11.posterior_probs",0.0127970444286365,"multistage"
"124","exp_n11.posterior_probs",0.223863497046168,"probit"
"125","exp_n11.posterior_probs",0.17294053546423,"qlinear"
"126","exp_n11.posterior_probs",0.0762530042215903,"weibull"
"127","exp_n110.posterior_probs",0.0900182953343925,"gamma"
"128","exp_n110.posterior_probs",0.06690720205069,"hill"
"129","exp_n110.posterior_probs",0.211195783870226,"log-logistic"
"130","exp_n110.posterior_probs",0.0773286982249446,"log-probit"
"131","exp_n110.posterior_probs",0.167662190284748,"logistic"
"132","exp_n110.posterior_probs",0.00534549558250885,"multistage"
"133","exp_n110.posterior_probs",0.269543063795444,"probit"
"134","exp_n110.posterior_probs",0.0233174199808392,"qlinear"
"135","exp_n110.posterior_probs",0.0886818508762067,"weibull"
"136","exp_n111.posterior_probs",0.0575016333935065,"gamma"
"137","exp_n111.posterior_probs",0.0512155044557325,"hill"
"138","exp_n111.posterior_probs",0.212969526193959,"log-logistic"
"139","exp_n111.posterior_probs",0.196785779329754,"log-probit"
"140","exp_n111.posterior_probs",0.185166442019702,"logistic"
"141","exp_n111.posterior_probs",0.00494313883588553,"multistage"
"142","exp_n111.posterior_probs",0.177787912733382,"probit"
"143","exp_n111.posterior_probs",0.0135212398801759,"qlinear"
"144","exp_n111.posterior_probs",0.100108823157902,"weibull"
"145","exp_n112.posterior_probs",0.0801976540581509,"gamma"
"146","exp_n112.posterior_probs",0.0468929575494166,"hill"
"147","exp_n112.posterior_probs",0.16762528957772,"log-logistic"
"148","exp_n112.posterior_probs",0.232829091120718,"log-probit"
"149","exp_n112.posterior_probs",0.234283413069758,"logistic"
"150","exp_n112.posterior_probs",0.00125425284068671,"multistage"
"151","exp_n112.posterior_probs",0.121596847517518,"probit"
"152","exp_n112.posterior_probs",0.0075702793767554,"qlinear"
"153","exp_n112.posterior_probs",0.107750214889278,"weibull"
"154","exp_n113.posterior_probs",0.0775885561935847,"gamma"
"155","exp_n113.posterior_probs",0.0485974833484874,"hill"
"156","exp_n113.posterior_probs",0.168652522672675,"log-logistic"
"157","exp_n113.posterior_probs",0.234672522567882,"log-probit"
"158","exp_n113.posterior_probs",0.227020634760988,"logistic"
"159","exp_n113.posterior_probs",0.00146377739902336,"multistage"
"160","exp_n113.posterior_probs",0.120011295476414,"probit"
"161","exp_n113.posterior_probs",0.0092905162155666,"qlinear"
"162","exp_n113.posterior_probs",0.112702691365379,"weibull"
"163","exp_n114.posterior_probs",0.0225106620197889,"gamma"
"164","exp_n114.posterior_probs",0.0841624262789447,"hill"
"165","exp_n114.posterior_probs",0.195024583698388,"log-logistic"
"166","exp_n114.posterior_probs",0.138323222099465,"log-probit"
"167","exp_n114.posterior_probs",0.0549629218059885,"logistic"
"168","exp_n114.posterior_probs",0.00640192190241055,"multistage"
"169","exp_n114.posterior_probs",0.235350234393918,"probit"
"170","exp_n114.posterior_probs",0.187991306328506,"qlinear"
"171","exp_n114.posterior_probs",0.0752727214725904,"weibull"
"172","exp_n115.posterior_probs",0.0527720203831941,"gamma"
"173","exp_n115.posterior_probs",0.0753498599987937,"hill"
"174","exp_n115.posterior_probs",0.198036625565562,"log-logistic"
"175","exp_n115.posterior_probs",0.142456084327243,"log-probit"
"176","exp_n115.posterior_probs",0.069990305518299,"logistic"
"177","exp_n115.posterior_probs",0.0130174773786549,"multistage"
"178","exp_n115.posterior_probs",0.24615800506106,"probit"
"179","exp_n115.posterior_probs",0.127140899952091,"qlinear"
"180","exp_n115.posterior_probs",0.0750787218151026,"weibull"
"181","exp_n116.posterior_probs",0.0824068230138832,"gamma"
"182","exp_n116.posterior_probs",0.0349700386060966,"hill"
"183","exp_n116.posterior_probs",0.159115195601615,"log-logistic"
"184","exp_n116.posterior_probs",0.222169008294533,"log-probit"
"185","exp_n116.posterior_probs",0.271247711303014,"logistic"
"186","exp_n116.posterior_probs",0.00136760125144938,"multistage"
"187","exp_n116.posterior_probs",0.137638867631345,"probit"
"188","exp_n116.posterior_probs",0.00332490512555405,"qlinear"
"189","exp_n116.posterior_probs",0.08775984917251,"weibull"
"190","exp_n117.posterior_probs",0.0401985676343929,"gamma"
"191","exp_n117.posterior_probs",0.0754843235529466,"hill"
"192","exp_n117.posterior_probs",0.196459589550899,"log-logistic"
"193","exp_n117.posterior_probs",0.131150265986925,"log-probit"
"194","exp_n117.posterior_probs",0.0469619870853329,"logistic"
"195","exp_n117.posterior_probs",0.00766215855087918,"multistage"
"196","exp_n117.posterior_probs",0.187199825104108,"probit"
"197","exp_n117.posterior_probs",0.246732994529827,"qlinear"
"198","exp_n117.posterior_probs",0.0681502880046888,"weibull"
