"","set","Dose","N","Effect"
"133","exp_n101",0.847134794003219,30,27
"134","exp_n101",0.86477245348503,30,30
"135","exp_n101",0.888851334358668,30,1
"136","exp_n101",0.903223246817558,30,0
"137","exp_n101",0.904900349934998,17,2
"138","exp_n101",0.905955960790651,30,3
"139","exp_n101",0.923475294156004,36,3
"140","exp_n101",0.947619587338969,30,20
"141","exp_n101",0.947977181388647,30,14
"142","exp_n101",0.95827250698212,30,13
"143","exp_n101",0.962151226591267,30,27
"144","exp_n101",0.974827984774035,30,29
"145","exp_n101",1.0026980949333,30,21
"146","exp_n102",0,262,14
"147","exp_n102",0.613492392535191,30,2
"148","exp_n102",0.650271107700309,30,2
"149","exp_n102",0.693509497115711,30,27
"150","exp_n102",0.708514357568408,30,30
"151","exp_n102",0.716248099049206,30,4
"152","exp_n102",0.722059927819523,30,8
"153","exp_n102",0.725467206377189,30,2
"154","exp_n102",0.738717789675992,3,3
"155","exp_n102",0.742061779313372,30,0
"156","exp_n102",0.747880152366379,30,14
"157","exp_n102",0.75962784746249,30,23
"158","exp_n102",0.768765972030355,30,3
"159","exp_n102",0.769243306074818,30,25
"160","exp_n102",0.77552668532595,30,9
"161","exp_n102",0.78096451518147,30,19
"162","exp_n102",0.838217911130417,30,30
"163","exp_n102",0.856354515353606,5,0
"164","exp_n102",0.881699311769893,30,5
"165","exp_n102",0.890220838974534,36,4
"166","exp_n102",0.915762104924772,17,1
"167","exp_n102",0.915978849530019,30,4
"168","exp_n102",0.920173561331118,30,4
"169","exp_n102",0.925417264330622,30,20
"170","exp_n102",0.927499489259566,30,12
"171","exp_n102",0.932736525742611,30,15
"172","exp_n102",0.978955613265632,30,29
"173","exp_n102",0.980762395777547,30,28
"174","exp_n102",0.99440766585083,30,24
"175","exp_n103",0,262,16
"176","exp_n103",0.61314901329068,30,2
"177","exp_n103",0.614772538835062,30,3
"178","exp_n103",0.663000717917474,30,26
"179","exp_n103",0.673406958986583,30,0
"180","exp_n103",0.706802676613517,30,30
"181","exp_n103",0.711907595781937,30,2
"182","exp_n103",0.728922998840323,30,7
"183","exp_n103",0.736836118200341,3,3
"184","exp_n103",0.745891976411369,30,7
"185","exp_n103",0.750682514141615,30,13
"186","exp_n103",0.768910280756136,30,13
"187","exp_n103",0.776836944593401,30,19
"188","exp_n103",0.780462293553878,30,9
"189","exp_n103",0.80267349235533,30,21
"190","exp_n103",0.83748981159693,30,30
"191","exp_n103",0.854942400336355,5,0
"192","exp_n103",0.860090301292339,30,26
"193","exp_n103",0.885314226624984,30,3
"194","exp_n103",0.900020379119502,30,1
"195","exp_n103",0.900611398155899,17,2
"196","exp_n103",0.929666230013532,30,2
"197","exp_n103",0.945530835122712,36,4
"198","exp_n103",0.953448053841035,30,17
"199","exp_n103",0.955027231660213,30,18
"200","exp_n103",0.963084356727678,30,27
"201","exp_n103",0.96521124988274,30,14
"202","exp_n103",0.977478504926846,30,29
"203","exp_n103",0.998153667136214,30,22
"204","exp_n104",0,262,12
"205","exp_n104",0.603203548837875,30,2
"206","exp_n104",0.691974761371491,30,23
"207","exp_n104",0.709209272957497,30,3
"208","exp_n104",0.713390602181879,30,29
"209","exp_n104",0.728304408680758,30,7
"210","exp_n104",0.736186036964914,30,10
"211","exp_n104",0.737598753112824,30,1
"212","exp_n104",0.738194539073842,30,5
"213","exp_n104",0.753453815493485,3,3
"214","exp_n104",0.777741911919944,30,24
"215","exp_n104",0.797624511758849,30,25
"216","exp_n104",0.799349318631121,30,9
"217","exp_n104",0.824979510153842,30,9
"218","exp_n104",0.840297702048003,5,0
"219","exp_n104",0.850113439039806,30,15
"220","exp_n104",0.88967967863494,30,30
"221","exp_n104",0.899241486625528,30,19
"222","exp_n104",0.905014274975359,36,4
"223","exp_n104",0.906781471026849,30,2
"224","exp_n104",0.915630484061671,17,1
"225","exp_n104",0.922767081766624,30,4
"226","exp_n104",0.927099558424004,30,4
"227","exp_n104",0.927149163895789,30,16
"228","exp_n104",0.935043056204448,30,18
"229","exp_n104",0.956254716585039,30,28
"230","exp_n104",0.958527378865022,30,20
"231","exp_n104",0.963245411764706,30,21
"232","exp_n104",0.971548603706668,30,29
"233","exp_n105",0,262,19
"234","exp_n105",0.562610295063287,30,1
"235","exp_n105",0.59457861931802,30,2
"236","exp_n105",0.644913614151445,30,0
"237","exp_n105",0.650774224536249,30,3
"238","exp_n105",0.707483998907276,30,3
"239","exp_n105",0.724747507839726,30,23
"240","exp_n105",0.727916394177526,30,1
"241","exp_n105",0.753024867658374,5,0
"242","exp_n105",0.759311148929557,30,7
"243","exp_n105",0.762188702381701,30,11
"244","exp_n105",0.767089540002068,3,3
"245","exp_n105",0.802632879887238,30,30
"246","exp_n105",0.813334354843831,30,13
"247","exp_n105",0.833313956138156,30,16
"248","exp_n105",0.864728719533527,30,1
"249","exp_n105",0.866789441223585,30,22
"250","exp_n105",0.907478228639063,30,3
"251","exp_n105",0.923163659684765,30,25
"252","exp_n105",0.923168881871528,17,3
"253","exp_n105",0.938040281094777,36,4
"254","exp_n105",0.946647435957285,30,1
"255","exp_n105",0.977391953930793,30,17
"256","exp_n105",0.978276946325409,30,16
"257","exp_n105",1.01316434486492,30,30
"258","exp_n105",1.03771990789436,30,9
"259","exp_n105",1.05610433219032,30,25
"260","exp_n105",1.1224182792393,30,20
"261","exp_n105",1.170702800553,30,29
"262","exp_n106",0,262,19
"263","exp_n106",0.645325961513851,30,3
"264","exp_n106",0.691503488633392,30,24
"265","exp_n106",0.70252524667724,30,4
"266","exp_n106",0.738115960998323,30,28
"267","exp_n106",0.745664090740914,30,1
"268","exp_n106",0.746015790315136,30,9
"269","exp_n106",0.754185077650313,30,5
"270","exp_n106",0.757826615903991,30,10
"271","exp_n106",0.773457552328763,30,7
"272","exp_n106",0.778885353011994,30,0
"273","exp_n106",0.78796000427979,30,15
"274","exp_n106",0.792892294959958,30,18
"275","exp_n106",0.798218939183853,3,3
"276","exp_n106",0.812436005347964,30,13
"277","exp_n106",0.858104222231826,30,30
"278","exp_n106",0.873203822775294,30,25
"279","exp_n106",0.888484592310829,5,0
"280","exp_n106",0.923873198933826,30,3
"281","exp_n106",0.925779742944063,30,1
"282","exp_n106",0.934403443924248,36,0
"283","exp_n106",0.940891454927964,17,0
"284","exp_n106",0.948390093785876,30,13
"285","exp_n106",0.963085302019037,30,3
"286","exp_n106",0.973910770446221,30,20
"287","exp_n106",0.994172975978515,30,22
"288","exp_n106",0.995299186496422,30,16
"289","exp_n106",0.999001125838355,30,29
"290","exp_n106",1.02473887235777,30,29
"291","exp_n107",0,262,16
"292","exp_n107",0.536816575273993,30,3
"293","exp_n107",0.665475576995702,30,5
"294","exp_n107",0.696460970193643,30,21
"295","exp_n107",0.713260516522862,30,9
"296","exp_n107",0.71943744144208,30,5
"297","exp_n107",0.722390972028736,30,1
"298","exp_n107",0.723524641112062,30,5
"299","exp_n107",0.730507550391941,30,30
"300","exp_n107",0.740886270359331,30,9
"301","exp_n107",0.752972070293674,3,3
"302","exp_n107",0.777873219790043,30,19
"303","exp_n107",0.780783456125083,30,17
"304","exp_n107",0.81914525498006,30,6
"305","exp_n107",0.839151045103062,30,15
"306","exp_n107",0.842493272703559,30,24
"307","exp_n107",0.888103926174093,30,4
"308","exp_n107",0.895517487652679,5,0
"309","exp_n107",0.910920211147086,30,30
"310","exp_n107",0.935453033781057,30,3
"311","exp_n107",0.936101261849199,30,0
"312","exp_n107",0.93835091071378,30,15
"313","exp_n107",0.940823247997398,17,2
"314","exp_n107",0.951572226815451,30,26
"315","exp_n107",0.959284322552048,30,20
"316","exp_n107",0.963551596340433,30,20
"317","exp_n107",0.969302537867102,36,1
"318","exp_n107",0.992439477380998,30,29
"319","exp_n107",1.00248371370916,30,17
"320","exp_n108",0,262,14
"321","exp_n108",0.512720715790848,30,3
"322","exp_n108",0.601418806663004,30,1
"323","exp_n108",0.687791274320871,30,1
"324","exp_n108",0.691725770553672,30,21
"325","exp_n108",0.704785163461452,30,10
"326","exp_n108",0.735642660028932,30,26
"327","exp_n108",0.745677635237678,3,3
"328","exp_n108",0.757802293651416,30,6
"329","exp_n108",0.76322067597152,30,6
"330","exp_n108",0.765292918117847,30,22
"331","exp_n108",0.777453121673263,30,11
"332","exp_n108",0.782591111257285,30,10
"333","exp_n108",0.795750525426031,30,19
"334","exp_n108",0.798346331562312,30,4
"335","exp_n108",0.804522417488754,30,26
"336","exp_n108",0.822029229071951,5,0
"337","exp_n108",0.876993899539068,30,1
"338","exp_n108",0.906909726223371,30,30
"339","exp_n108",0.909190027917826,17,5
"340","exp_n108",0.91084506465865,30,3
"341","exp_n108",0.921599035609285,30,21
"342","exp_n108",0.935012162950653,30,1
"343","exp_n108",0.943308357468839,36,0
"344","exp_n108",0.946487128020641,30,17
"345","exp_n108",0.962667225422427,30,19
"346","exp_n108",0.965671166450751,30,20
"347","exp_n108",1.0125628099276,30,30
"348","exp_n108",1.04607746777073,30,30
"349","exp_n109",0,262,16
"350","exp_n109",0.673534412752166,30,6
"351","exp_n109",0.71287691872034,30,22
"352","exp_n109",0.71849595211178,30,1
"353","exp_n109",0.732959633889855,30,6
"354","exp_n109",0.737416033250215,30,1
"355","exp_n109",0.745887340276707,3,3
"356","exp_n109",0.758274858120821,30,6
"357","exp_n109",0.762277338826487,30,10
"358","exp_n109",0.768315662526498,30,28
"359","exp_n109",0.79060227146747,30,3
"360","exp_n109",0.80299630823335,30,19
"361","exp_n109",0.817362489005361,30,18
