set,Dose,N,Effect
exp_n1,0,262,19
exp_n1,0.636820386,30,4
exp_n1,0.664035061,30,1
exp_n1,0.697180262,30,19
exp_n1,0.705442707,30,6
exp_n1,0.721321525,30,30
exp_n1,0.724812282,30,0
exp_n1,0.750645119,30,3
exp_n1,0.753694489,30,9
exp_n1,0.765893017,3,3
exp_n1,0.770353659,30,6
exp_n1,0.770825184,30,11
exp_n1,0.792474951,30,21
exp_n1,0.80208199,30,10
exp_n1,0.804328462,30,22
exp_n1,0.806979155,30,21
exp_n1,0.859993038,30,30
exp_n1,0.863456996,5,0
exp_n1,0.899172693,30,1
exp_n1,0.917284027,17,1
exp_n1,0.922119627,30,1
exp_n1,0.931045392,36,0
exp_n1,0.936258818,30,2
exp_n1,0.945062087,30,19
exp_n1,0.95886519,30,16
exp_n1,0.959530987,30,21
exp_n1,0.969073483,30,28
exp_n1,0.983726491,30,21
exp_n1,1.004378958,30,29
exp_n10,0,262,26
exp_n10,0.644552557,30,0
exp_n10,0.663589059,30,5
exp_n10,0.69730385,30,22
exp_n10,0.711482042,30,7
exp_n10,0.715871995,30,0
exp_n10,0.72051641,30,29
exp_n10,0.747293872,30,6
exp_n10,0.749328392,30,10
exp_n10,0.764580793,30,6
exp_n10,0.764741207,3,3
exp_n10,0.766947862,30,5
exp_n10,0.787763422,30,13
exp_n10,0.790981817,30,23
exp_n10,0.791714406,30,25
exp_n10,0.810494146,30,30
exp_n10,0.812940874,30,24
exp_n10,0.876507636,5,0
exp_n10,0.911444997,30,5
exp_n10,0.917814013,17,1
exp_n10,0.919439467,30,2
exp_n10,0.929036609,36,0
exp_n10,0.938352539,30,2
exp_n10,0.941389364,30,17
exp_n10,0.942412203,30,16
exp_n10,0.950890185,30,17
exp_n10,0.971266941,30,29
exp_n10,0.982016387,30,22
exp_n10,0.992518255,30,27
exp_n100,0,262,22
exp_n100,0.63267518,30,1
exp_n100,0.653360325,30,0
exp_n100,0.692790726,30,22
exp_n100,0.698210209,30,5
exp_n100,0.718014483,30,0
exp_n100,0.724424057,30,29
exp_n100,0.740523028,30,4
exp_n100,0.751942444,30,8
exp_n100,0.756186738,3,3
exp_n100,0.760438649,30,2
exp_n100,0.787360439,30,8
exp_n100,0.795356001,30,14
exp_n100,0.797564206,30,24
exp_n100,0.797663579,30,12
exp_n100,0.802470001,30,26
exp_n100,0.845144013,30,30
exp_n100,0.854016157,5,0
exp_n100,0.903087812,30,2
exp_n100,0.909259912,17,1
exp_n100,0.920501791,36,0
exp_n100,0.921586277,30,2
exp_n100,0.928796864,30,0
exp_n100,0.942295309,30,17
exp_n100,0.947014722,30,12
exp_n100,0.949527028,30,20
exp_n100,0.97501807,30,29
exp_n100,0.978038616,30,18
exp_n100,0.990484814,30,28
exp_n1000,0,262,26
exp_n1000,0.641487222,30,1
exp_n1000,0.682251683,30,15
exp_n1000,0.683059324,30,1
exp_n1000,0.70896338,30,3
exp_n1000,0.711350689,30,29
exp_n1000,0.717734299,30,2
exp_n1000,0.737433718,30,4
exp_n1000,0.74578064,30,0
exp_n1000,0.750953017,3,3
exp_n1000,0.762061909,30,10
exp_n1000,0.764763211,30,4
exp_n1000,0.765794481,30,17
exp_n1000,0.777351174,30,15
exp_n1000,0.7796209,30,17
exp_n1000,0.792900554,30,26
exp_n1000,0.807035595,30,30
exp_n1000,0.859571706,5,0
exp_n1000,0.905037955,30,2
exp_n1000,0.910326916,30,4
exp_n1000,0.913013842,17,0
exp_n1000,0.915388225,36,0
exp_n1000,0.917432835,30,0
exp_n1000,0.928702948,30,20
exp_n1000,0.930401765,30,11
exp_n1000,0.937159866,30,17
exp_n1000,0.952850806,30,26
exp_n1000,0.957205368,30,22
exp_n1000,0.967027886,30,29
exp_n101,0,262,25
exp_n101,0.667908384,30,1
exp_n101,0.674741008,30,1
exp_n101,0.718575258,30,20
exp_n101,0.729725649,30,30
exp_n101,0.740115589,30,8
exp_n101,0.742247536,30,3
exp_n101,0.763959646,30,8
exp_n101,0.778648743,3,3
exp_n101,0.782762259,30,8
exp_n101,0.784686772,30,3
exp_n101,0.789841577,30,7
exp_n101,0.806664624,30,18
exp_n101,0.80836079,30,22
exp_n101,0.818524147,30,10
exp_n101,0.823369455,30,30
exp_n101,0.828837978,30,27
exp_n101,0.902069373,5,0
exp_n101,0.940741061,30,2
exp_n101,0.943576918,30,2
exp_n101,0.945331909,17,1
exp_n101,0.960848592,30,2
exp_n101,0.960973165,36,1
exp_n101,0.966775819,30,14
exp_n101,0.975832682,30,13
exp_n101,0.977417172,30,14
exp_n101,0.985715214,30,27
exp_n101,0.991447058,30,24
exp_n101,1.012025407,30,28
exp_n102,0,262,31
exp_n102,0.664454738,30,2
exp_n102,0.676924068,30,2
exp_n102,0.712107581,30,20
exp_n102,0.724795792,30,30
exp_n102,0.731643395,30,7
exp_n102,0.744410242,30,0
exp_n102,0.761656181,30,2
exp_n102,0.769829759,3,3
exp_n102,0.770261288,30,8
exp_n102,0.784219164,30,6
exp_n102,0.794267349,30,9
exp_n102,0.796325132,30,10
exp_n102,0.801927455,30,23
exp_n102,0.803249424,30,18
exp_n102,0.806409183,30,30
exp_n102,0.817509143,30,25
exp_n102,0.898869952,5,0
exp_n102,0.939120661,17,0
exp_n102,0.942056612,30,3
exp_n102,0.945464685,30,3
exp_n102,0.961111862,30,17
exp_n102,0.964278126,36,0
exp_n102,0.969125302,30,4
exp_n102,0.969392554,30,20
exp_n102,0.969545732,30,13
exp_n102,0.978164068,30,30
exp_n102,0.997803501,30,22
exp_n102,0.998708098,30,28
exp_n103,0,262,19
exp_n103,0.643885636,30,2
exp_n103,0.644897817,30,2
exp_n103,0.698956539,30,21
exp_n103,0.717016605,30,5
exp_n103,0.72900202,30,1
exp_n103,0.730667432,30,27
exp_n103,0.752899391,30,9
exp_n103,0.754357633,30,4
exp_n103,0.765752588,3,3
exp_n103,0.771320852,30,5
exp_n103,0.778994138,30,4
exp_n103,0.788306459,30,18
exp_n103,0.791386564,30,12
exp_n103,0.798686757,30,19
exp_n103,0.816986389,30,26
exp_n103,0.833961906,30,30
exp_n103,0.876609104,5,0
exp_n103,0.911020785,30,1
exp_n103,0.923099111,30,4
exp_n103,0.924118239,17,0
exp_n103,0.93872244,36,0
exp_n103,0.93960304,30,12
exp_n103,0.941142747,30,0
exp_n103,0.950769927,30,16
exp_n103,0.954895738,30,17
exp_n103,0.96999751,30,25
exp_n103,0.97655877,30,22
exp_n103,0.990306933,30,30
exp_n104,0,262,28
exp_n104,0.62858468,30,4
exp_n104,0.630522132,30,1
exp_n104,0.6980791,30,25
exp_n104,0.701967696,30,8
exp_n104,0.711374146,30,5
exp_n104,0.748516074,30,27
exp_n104,0.754377214,30,4
exp_n104,0.758562947,30,6
exp_n104,0.773358193,3,3
exp_n104,0.779773194,30,7
exp_n104,0.787384605,30,17
exp_n104,0.791220181,30,11
exp_n104,0.806086206,30,21
exp_n104,0.807798725,30,17
exp_n104,0.837011692,30,25
exp_n104,0.840795613,30,30
exp_n104,0.855358426,5,0
exp_n104,0.912869911,30,2
exp_n104,0.91840484,17,0
exp_n104,0.925957523,30,1
exp_n104,0.937129223,30,3
exp_n104,0.939182621,36,1
exp_n104,0.958547155,30,15
exp_n104,0.969189338,30,15
exp_n104,0.970234518,30,19
exp_n104,1.000713736,30,28
exp_n104,1.008187887,30,22
exp_n104,1.027325852,30,25
exp_n105,0,262,22
exp_n105,0.61978849,30,1
exp_n105,0.642265039,30,5
exp_n105,0.673660356,30,20
exp_n105,0.683767384,30,2
exp_n105,0.696812734,30,2
exp_n105,0.705400132,30,30
exp_n105,0.720772632,30,4
exp_n105,0.721269289,30,9
exp_n105,0.739570592,3,3
exp_n105,0.745779231,30,9
exp_n105,0.751469022,30,4
exp_n105,0.767221823,30,21
exp_n105,0.771115764,30,18
exp_n105,0.774691212,30,11
exp_n105,0.780548702,30,25
exp_n105,0.812308979,30,30
exp_n105,0.834064246,5,0
exp_n105,0.881959383,30,0
exp_n105,0.894139856,17,0
exp_n105,0.895599996,30,3
exp_n105,0.901130638,30,1
exp_n105,0.901302048,36,0
exp_n105,0.912380814,30,14
exp_n105,0.923323786,30,13
exp_n105,0.931367693,30,16
exp_n105,0.941237802,30,29
exp_n105,0.957442807,30,19
exp_n105,0.974282166,30,30
exp_n106,0,262,27
exp_n106,0.649825951,30,1
exp_n106,0.654095618,30,2
exp_n106,0.696057427,30,23
exp_n106,0.713128074,30,29
exp_n106,0.71891279,30,6
exp_n106,0.73140686,30,1
exp_n106,0.746872113,30,4
exp_n106,0.751864474,30,2
exp_n106,0.763474153,3,3
exp_n106,0.765069693,30,9
exp_n106,0.774824224,30,5
exp_n106,0.777553869,30,21
exp_n106,0.7824485,30,30
exp_n106,0.78658994,30,18
exp_n106,0.78868012,30,17
exp_n106,0.802599173,30,22
exp_n106,0.898665575,5,0
exp_n106,0.918269696,17,1
exp_n106,0.918733163,30,1
exp_n106,0.932191794,30,4
exp_n106,0.935046351,30,15
exp_n106,0.936900841,36,2
exp_n106,0.937932156,30,1
exp_n106,0.942967898,30,17
exp_n106,0.945417806,30,13
exp_n106,0.957313638,30,26
exp_n106,0.967164476,30,23
exp_n106,0.969645919,30,28
exp_n107,0,262,32
exp_n107,0.644441839,30,4
exp_n107,0.654589871,30,4
exp_n107,0.69501582,30,21
exp_n107,0.712149121,30,4
exp_n107,0.718409166,30,28
exp_n107,0.725513899,30,1
exp_n107,0.748589344,30,2
exp_n107,0.750603077,30,9
exp_n107,0.757033815,3,3
exp_n107,0.769916034,30,4
exp_n107,0.775244913,30,11
exp_n107,0.780516774,30,5
exp_n107,0.789945553,30,19
exp_n107,0.792183814,30,16
exp_n107,0.82179192,30,30
exp_n107,0.82283943,30,23
exp_n107,0.874853902,5,0
exp_n107,0.9134978,30,4
exp_n107,0.915320952,17,2
exp_n107,0.920039187,30,3
exp_n107,0.931416317,30,2
exp_n107,0.931612346,36,2
exp_n107,0.938977814,30,12
exp_n107,0.952877463,30,17
exp_n107,0.959533164,30,17
exp_n107,0.971946421,30,28
exp_n107,0.973901065,30,19
exp_n107,0.986365621,30,30
exp_n108,0,262,27
exp_n108,0.638646323,30,2
exp_n108,0.675274271,30,23
exp_n108,0.699241932,30,29
exp_n108,0.701122246,30,0
exp_n108,0.70838363,30,6
exp_n108,0.721614013,30,1
exp_n108,0.732597706,30,6
exp_n108,0.745641593,3,3
exp_n108,0.750570892,30,6
exp_n108,0.751397345,30,7
