"","Model","med"
"1","gamma",0.311972284787388
"2","hill",0.0315316622320744
"3","log-logistic",0.0931543753136589
"4","log-probit",0.06923962635053
"5","logistic",0.00960493545177381
"6","multistage",0.000401447953030909
"7","probit",0.0636674365581101
"8","qlinear",0.209414449383285
"9","weibull",0.0705733791899937
