"Dataset Index","Dose","N","Effect"
"exp_n821",0.974135082308764,2,0
"exp_n821",0.979392438987093,30,16
"exp_n821",1.00664424790829,30,28
"exp_n821",1.02467088700326,30,22
"exp_n821",1.02916497092605,30,12
"exp_n821",1.0292135133093,30,15
"exp_n821",1.03517642985141,30,18
"exp_n821",1.05520332355127,30,30
"exp_n821",1.09372601167491,4,1
"exp_n822",0,30,0
"exp_n822",0.69073521643396,30,20
"exp_n822",0.694066071218243,2,0
"exp_n822",0.706300803731208,30,22
"exp_n822",0.709257919867685,30,6
"exp_n822",0.728740053861873,3,0
"exp_n822",0.743905877960634,2,0
"exp_n822",0.744431555264743,3,3
"exp_n822",0.746499563428767,30,6
"exp_n822",0.746989405762195,30,6
"exp_n822",0.755323230880816,71,0
"exp_n822",0.770860188425984,30,10
"exp_n822",0.785441232677938,30,15
"exp_n822",0.787594914785638,30,26
"exp_n822",0.793169153726327,4,0
"exp_n822",0.80614247342545,4,0
"exp_n822",0.809472391432534,30,30
"exp_n822",0.828604778621112,30,3
"exp_n822",0.829260229972493,1,0
"exp_n822",0.831941667691311,30,1
"exp_n822",0.870219210339722,30,2
"exp_n822",0.876791340678958,5,0
"exp_n822",0.881234181355065,30,30
"exp_n822",0.895034136931925,30,2
"exp_n822",0.90189977939954,30,2
"exp_n822",0.911959254378535,17,0
"exp_n822",0.912063831694948,30,1
"exp_n822",0.921787204999959,73,0
"exp_n822",0.927116722328344,36,6
"exp_n822",0.927736884987255,30,2
"exp_n822",0.929714216531494,2,1
"exp_n822",0.934060760854342,30,17
"exp_n822",0.941990129129473,30,29
"exp_n822",0.955878780881655,30,20
"exp_n822",0.962740694515904,30,14
"exp_n822",0.973110738534334,30,11
"exp_n822",0.973264042893346,30,18
"exp_n822",0.992368388096819,4,0
"exp_n822",1.00693747973814,30,28
"exp_n823",0,30,0
"exp_n823",0.683146596087771,2,0
"exp_n823",0.691742630660843,30,27
"exp_n823",0.693186124342341,30,7
"exp_n823",0.71248229235866,3,0
"exp_n823",0.720079633954676,30,21
"exp_n823",0.735079215622122,30,4
"exp_n823",0.737206321842263,71,0
"exp_n823",0.738599984632652,2,0
"exp_n823",0.739401955111688,30,8
"exp_n823",0.750652810380121,3,3
"exp_n823",0.774294573127002,30,9
"exp_n823",0.780980669286993,30,16
"exp_n823",0.817153502958737,30,24
"exp_n823",0.81956368288725,4,0
"exp_n823",0.82667157990995,30,0
"exp_n823",0.829051880968899,1,0
"exp_n823",0.8309180363231,4,0
"exp_n823",0.831745672185361,30,6
"exp_n823",0.847258694398009,30,30
"exp_n823",0.847747777013262,30,2
"exp_n823",0.851772979413484,5,0
"exp_n823",0.865902708491122,30,2
"exp_n823",0.892847572907425,30,29
"exp_n823",0.896066177836348,30,0
"exp_n823",0.905961804377774,17,1
"exp_n823",0.909098221686914,30,1
"exp_n823",0.911196150288505,73,0
"exp_n823",0.914518405039747,30,3
"exp_n823",0.918332550133244,36,3
"exp_n823",0.940815022851112,30,12
"exp_n823",0.944474845927831,2,1
"exp_n823",0.961349649624089,30,27
"exp_n823",0.977683302577501,30,20
"exp_n823",0.97832814854415,30,21
"exp_n823",0.980260308725321,30,19
