"","Simulation","BMDSEstimates","order","Model"
"81","exp_n121.bmd",0.4157499425426,"bmdu","ModelAverage"
"82","exp_n122.bmd",0.251207126473909,"bmds","ModelAverage"
"83","exp_n122.bmd",0.152225439036072,"bmdl","ModelAverage"
"84","exp_n122.bmd",0.419124150570728,"bmdu","ModelAverage"
"85","exp_n123.bmd",0.202013719658868,"bmds","ModelAverage"
"86","exp_n123.bmd",0.145164917799037,"bmdl","ModelAverage"
"87","exp_n123.bmd",0.374870070139767,"bmdu","ModelAverage"
"88","exp_n124.bmd",0.5109258091328,"bmds","ModelAverage"
"89","exp_n124.bmd",0.352754609500264,"bmdl","ModelAverage"
"90","exp_n124.bmd",0.587030645539424,"bmdu","ModelAverage"
"91","exp_n125.bmd",0.221691769714089,"bmds","ModelAverage"
"92","exp_n125.bmd",0.15760044227794,"bmdl","ModelAverage"
"93","exp_n125.bmd",0.401775146003104,"bmdu","ModelAverage"
"94","exp_n126.bmd",0.388927749335672,"bmds","ModelAverage"
"95","exp_n126.bmd",0.313962113101652,"bmdl","ModelAverage"
"96","exp_n126.bmd",0.544568939094294,"bmdu","ModelAverage"
"97","exp_n127.bmd",0.341282932070165,"bmds","ModelAverage"
"98","exp_n127.bmd",0.199707895085101,"bmdl","ModelAverage"
"99","exp_n127.bmd",0.448146417330842,"bmdu","ModelAverage"
"100","exp_n128.bmd",0.340079540751542,"bmds","ModelAverage"
"101","exp_n128.bmd",0.169122933326812,"bmdl","ModelAverage"
"102","exp_n128.bmd",0.449853408437697,"bmdu","ModelAverage"
"103","exp_n129.bmd",0.320840634549544,"bmds","ModelAverage"
"104","exp_n129.bmd",0.161909151517693,"bmdl","ModelAverage"
"105","exp_n129.bmd",0.425155104514775,"bmdu","ModelAverage"
"106","exp_n13.bmd",0.360086213996242,"bmds","ModelAverage"
"107","exp_n13.bmd",0.303755447057189,"bmdl","ModelAverage"
"108","exp_n13.bmd",0.507412475113191,"bmdu","ModelAverage"
"109","exp_n130.bmd",0.178176288459198,"bmds","ModelAverage"
"110","exp_n130.bmd",0.116161208965956,"bmdl","ModelAverage"
"111","exp_n130.bmd",0.374077425051934,"bmdu","ModelAverage"
"112","exp_n131.bmd",0.306789287676995,"bmds","ModelAverage"
"113","exp_n131.bmd",0.160112310821228,"bmdl","ModelAverage"
"114","exp_n131.bmd",0.432903545346688,"bmdu","ModelAverage"
"115","exp_n132.bmd",0.340003832815287,"bmds","ModelAverage"
"116","exp_n132.bmd",0.168880575196154,"bmdl","ModelAverage"
"117","exp_n132.bmd",0.45542512750673,"bmdu","ModelAverage"
"118","exp_n133.bmd",0.497243820649229,"bmds","ModelAverage"
"119","exp_n133.bmd",0.317103577278447,"bmdl","ModelAverage"
"120","exp_n133.bmd",0.603115858516527,"bmdu","ModelAverage"
"121","exp_n134.bmd",0.168597076335315,"bmds","ModelAverage"
"122","exp_n134.bmd",0.000805235754765551,"bmdl","ModelAverage"
"123","exp_n134.bmd",0.340675311431539,"bmdu","ModelAverage"
"124","exp_n135.bmd",0.481941627119518,"bmds","ModelAverage"
"125","exp_n135.bmd",0.324420923790427,"bmdl","ModelAverage"
"126","exp_n135.bmd",0.575368671779505,"bmdu","ModelAverage"
"127","exp_n136.bmd",0.184127114671353,"bmds","ModelAverage"
"128","exp_n136.bmd",0.145415042173584,"bmdl","ModelAverage"
"129","exp_n136.bmd",0.370209650325296,"bmdu","ModelAverage"
"130","exp_n137.bmd",0.229478243631624,"bmds","ModelAverage"
"131","exp_n137.bmd",0.151627272039496,"bmdl","ModelAverage"
"132","exp_n137.bmd",0.407086216685927,"bmdu","ModelAverage"
"133","exp_n138.bmd",0.371909592417326,"bmds","ModelAverage"
"134","exp_n138.bmd",0.31669354081674,"bmdl","ModelAverage"
"135","exp_n138.bmd",0.511397595731253,"bmdu","ModelAverage"
"136","exp_n139.bmd",0.437080834242386,"bmds","ModelAverage"
"137","exp_n139.bmd",0.310791326005336,"bmdl","ModelAverage"
"138","exp_n139.bmd",0.544831864564575,"bmdu","ModelAverage"
"139","exp_n14.bmd",0.175529957184872,"bmds","ModelAverage"
"140","exp_n14.bmd",0.0779825300408818,"bmdl","ModelAverage"
"141","exp_n14.bmd",0.332050271260966,"bmdu","ModelAverage"
"142","exp_n140.bmd",0.357380263544816,"bmds","ModelAverage"
"143","exp_n140.bmd",0.234687635510869,"bmdl","ModelAverage"
"144","exp_n140.bmd",0.470296024154226,"bmdu","ModelAverage"
"145","exp_n141.bmd",0.458721330132975,"bmds","ModelAverage"
"146","exp_n141.bmd",0.355527673735085,"bmdl","ModelAverage"
"147","exp_n141.bmd",0.574111558943695,"bmdu","ModelAverage"
"148","exp_n142.bmd",0.355936613940997,"bmds","ModelAverage"
"149","exp_n142.bmd",0.171541022100964,"bmdl","ModelAverage"
"150","exp_n142.bmd",0.456844852377944,"bmdu","ModelAverage"
"151","exp_n143.bmd",0.343563349159781,"bmds","ModelAverage"
"152","exp_n143.bmd",0.181139957882099,"bmdl","ModelAverage"
"153","exp_n143.bmd",0.485468309424672,"bmdu","ModelAverage"
"154","exp_n144.bmd",0.191448619248454,"bmds","ModelAverage"
"155","exp_n144.bmd",0.138654316953844,"bmdl","ModelAverage"
"156","exp_n144.bmd",0.349010674775946,"bmdu","ModelAverage"
"157","exp_n145.bmd",0.343320902088716,"bmds","ModelAverage"
"158","exp_n145.bmd",0.199075307371316,"bmdl","ModelAverage"
"159","exp_n145.bmd",0.464380798093588,"bmdu","ModelAverage"
"160","exp_n146.bmd",0.332445403419196,"bmds","ModelAverage"
"161","exp_n146.bmd",0.168683851533367,"bmdl","ModelAverage"
"162","exp_n146.bmd",0.437438878879761,"bmdu","ModelAverage"
"163","exp_n147.bmd",0.301999926249959,"bmds","ModelAverage"
"164","exp_n147.bmd",0.167101447143202,"bmdl","ModelAverage"
"165","exp_n147.bmd",0.43638990920783,"bmdu","ModelAverage"
"166","exp_n148.bmd",0.311831343113267,"bmds","ModelAverage"
"167","exp_n148.bmd",0.168088666501585,"bmdl","ModelAverage"
"168","exp_n148.bmd",0.411523966889716,"bmdu","ModelAverage"
"169","exp_n149.bmd",0.174898316964598,"bmds","ModelAverage"
"170","exp_n149.bmd",0.0678044525368411,"bmdl","ModelAverage"
"171","exp_n149.bmd",0.279686614379644,"bmdu","ModelAverage"
"172","exp_n15.bmd",0.461893680467363,"bmds","ModelAverage"
"173","exp_n15.bmd",0.334949985897294,"bmdl","ModelAverage"
"174","exp_n15.bmd",0.571606996766526,"bmdu","ModelAverage"
"175","exp_n150.bmd",0.379258767234586,"bmds","ModelAverage"
"176","exp_n150.bmd",0.299185323472297,"bmdl","ModelAverage"
"177","exp_n150.bmd",0.546839533332795,"bmdu","ModelAverage"
"178","exp_n151.bmd",0.347038366615832,"bmds","ModelAverage"
"179","exp_n151.bmd",0.172347172626596,"bmdl","ModelAverage"
"180","exp_n151.bmd",0.448172188338207,"bmdu","ModelAverage"
"181","exp_n152.bmd",0.359699368094855,"bmds","ModelAverage"
"182","exp_n152.bmd",0.27186255940998,"bmdl","ModelAverage"
"183","exp_n152.bmd",0.552445456909879,"bmdu","ModelAverage"
"184","exp_n153.bmd",0.309602188256689,"bmds","ModelAverage"
"185","exp_n153.bmd",0.154693998561745,"bmdl","ModelAverage"
"186","exp_n153.bmd",0.419141988059253,"bmdu","ModelAverage"
"187","exp_n154.bmd",0.259386149861388,"bmds","ModelAverage"
"188","exp_n154.bmd",0.16234982437115,"bmdl","ModelAverage"
"189","exp_n154.bmd",0.394826540422205,"bmdu","ModelAverage"
"190","exp_n155.bmd",0.509611501024319,"bmds","ModelAverage"
"191","exp_n155.bmd",0.350197345754863,"bmdl","ModelAverage"
"192","exp_n155.bmd",0.580493127259816,"bmdu","ModelAverage"
"193","exp_n156.bmd",0.31231132312919,"bmds","ModelAverage"
"194","exp_n156.bmd",0.158655074742753,"bmdl","ModelAverage"
"195","exp_n156.bmd",0.436327327571136,"bmdu","ModelAverage"
"196","exp_n157.bmd",0.345508795921486,"bmds","ModelAverage"
"197","exp_n157.bmd",0.173138665997873,"bmdl","ModelAverage"
"198","exp_n157.bmd",0.449007747045453,"bmdu","ModelAverage"
"199","exp_n158.bmd",0.435239754150674,"bmds","ModelAverage"
"200","exp_n158.bmd",0.327142553129917,"bmdl","ModelAverage"
"201","exp_n158.bmd",0.557599107656279,"bmdu","ModelAverage"
"202","exp_n159.bmd",0.3915704819018,"bmds","ModelAverage"
"203","exp_n159.bmd",0.337782903299702,"bmdl","ModelAverage"
"204","exp_n159.bmd",0.495448441357843,"bmdu","ModelAverage"
"205","exp_n16.bmd",0.352969684605267,"bmds","ModelAverage"
"206","exp_n16.bmd",0.176561856096579,"bmdl","ModelAverage"
"207","exp_n16.bmd",0.459250508836831,"bmdu","ModelAverage"
"208","exp_n160.bmd",0.354221608733619,"bmds","ModelAverage"
"209","exp_n160.bmd",0.298613370398007,"bmdl","ModelAverage"
"210","exp_n160.bmd",0.497970957497548,"bmdu","ModelAverage"
"211","exp_n161.bmd",0.414879140658834,"bmds","ModelAverage"
"212","exp_n161.bmd",0.313608736788357,"bmdl","ModelAverage"
"213","exp_n161.bmd",0.543943037720089,"bmdu","ModelAverage"
"214","exp_n162.bmd",0.203877304285921,"bmds","ModelAverage"
"215","exp_n162.bmd",0.150978678966158,"bmdl","ModelAverage"
"216","exp_n162.bmd",0.378017954281644,"bmdu","ModelAverage"
"217","exp_n163.bmd",0.507182342542021,"bmds","ModelAverage"
"218","exp_n163.bmd",0.337766403172459,"bmdl","ModelAverage"
"219","exp_n163.bmd",0.576431803367082,"bmdu","ModelAverage"
"220","exp_n164.bmd",0.334735320231755,"bmds","ModelAverage"
"221","exp_n164.bmd",0.163695600995973,"bmdl","ModelAverage"
"222","exp_n164.bmd",0.435277477807163,"bmdu","ModelAverage"
"223","exp_n165.bmd",0.418004910131221,"bmds","ModelAverage"
"224","exp_n165.bmd",0.315656756044024,"bmdl","ModelAverage"
"225","exp_n165.bmd",0.5401154251997,"bmdu","ModelAverage"
"226","exp_n166.bmd",0.3413734483788,"bmds","ModelAverage"
"227","exp_n166.bmd",0.170458350541076,"bmdl","ModelAverage"
"228","exp_n166.bmd",0.449276381734461,"bmdu","ModelAverage"
"229","exp_n167.bmd",0.17755610185936,"bmds","ModelAverage"
"230","exp_n167.bmd",0.108236933061092,"bmdl","ModelAverage"
"231","exp_n167.bmd",0.331110747700512,"bmdu","ModelAverage"
"232","exp_n168.bmd",0.250233451435278,"bmds","ModelAverage"
"233","exp_n168.bmd",0.163716507354201,"bmdl","ModelAverage"
"234","exp_n168.bmd",0.397848857892607,"bmdu","ModelAverage"
"235","exp_n169.bmd",0.178926992184306,"bmds","ModelAverage"
"236","exp_n169.bmd",0.102966563973078,"bmdl","ModelAverage"
"237","exp_n169.bmd",0.335952751288027,"bmdu","ModelAverage"
"238","exp_n17.bmd",0.389806086696375,"bmds","ModelAverage"
"239","exp_n17.bmd",0.326922892442419,"bmdl","ModelAverage"
"240","exp_n17.bmd",0.536004221860255,"bmdu","ModelAverage"
"241","exp_n170.bmd",0.319426947363776,"bmds","ModelAverage"
"242","exp_n170.bmd",0.15663810348745,"bmdl","ModelAverage"
"243","exp_n170.bmd",0.433344368765148,"bmdu","ModelAverage"
"244","exp_n171.bmd",0.406759279318648,"bmds","ModelAverage"
"245","exp_n171.bmd",0.315222148977648,"bmdl","ModelAverage"
"246","exp_n171.bmd",0.547605421715647,"bmdu","ModelAverage"
"247","exp_n172.bmd",0.455738486053219,"bmds","ModelAverage"
"248","exp_n172.bmd",0.32701421227008,"bmdl","ModelAverage"
"249","exp_n172.bmd",0.559852321563558,"bmdu","ModelAverage"
