"","Model","med"
"1","gamma",0.944781907431442
"2","hill",0.0003905725356809
"3","log-logistic",1.7543117804245e-19
"4","log-probit",0.0344952484905158
"5","logistic",0.00132490278834026
"6","multistage",4.46952555824623e-06
"7","probit",5.06422303163749e-18
"8","qlinear",0.000186851752828884
"9","weibull",0.0181018250056027
