"Dataset Index","Dose","N","Effect"
"exp_n639",0,30,0
"exp_n639",0.6961028911472,30,20
"exp_n639",0.699782699566416,2,0
"exp_n639",0.719498041489658,30,19
"exp_n639",0.719910468262904,30,6
"exp_n639",0.74044281000644,3,0
"exp_n639",0.747579337774943,30,4
"exp_n639",0.747862713174407,71,0
"exp_n639",0.759143546813617,30,8
"exp_n639",0.763241191280835,3,3
"exp_n639",0.763643539086223,2,0
"exp_n639",0.78623988988632,30,8
"exp_n639",0.786956604651314,30,30
"exp_n639",0.796017532417436,30,23
"exp_n639",0.808060989307116,4,0
"exp_n639",0.80844041627463,30,27
"exp_n639",0.827412415409803,4,0
"exp_n639",0.844671959924984,30,2
"exp_n639",0.845093500671709,1,0
"exp_n639",0.847990903335739,30,9
"exp_n639",0.877840151015224,5,0
"exp_n639",0.886677028274994,30,1
"exp_n639",0.893675847454415,30,29
"exp_n639",0.900462777922183,30,0
"exp_n639",0.914936169711991,30,3
"exp_n639",0.923039536356116,73,0
"exp_n639",0.924077493093859,30,2
"exp_n639",0.92408460467075,17,1
"exp_n639",0.9370554025722,36,1
"exp_n639",0.93720676958313,30,1
"exp_n639",0.94381672136949,2,1
"exp_n639",0.946190877758369,30,14
"exp_n639",0.967006991570607,30,27
"exp_n639",0.983094063368103,30,22
"exp_n639",0.995141339977727,30,14
"exp_n639",0.996688672089031,30,14
"exp_n639",0.997097080484147,30,15
"exp_n639",1.01330996788415,30,28
"exp_n639",1.02533770194305,4,0
"exp_n64",0,30,0
"exp_n64",0.694405199823612,2,0
"exp_n64",0.699100353726489,30,22
"exp_n64",0.70068291470243,30,5
"exp_n64",0.719268026839577,3,0
"exp_n64",0.727328838341782,30,24
"exp_n64",0.748895214429836,2,0
"exp_n64",0.749283990114572,71,0
"exp_n64",0.751982951100516,30,8
"exp_n64",0.752615769980101,30,1
"exp_n64",0.75595408527061,3,3
"exp_n64",0.766277316995193,30,12
"exp_n64",0.799970373070719,30,14
"exp_n64",0.809843327497334,30,26
"exp_n64",0.817504091283896,4,0
"exp_n64",0.829596237758489,4,0
"exp_n64",0.832767407268109,1,0
"exp_n64",0.834022832816354,30,30
"exp_n64",0.83522391303179,30,1
"exp_n64",0.838073858307365,30,6
"exp_n64",0.863519071169791,5,0
"exp_n64",0.870837100383484,30,3
"exp_n64",0.87680497714847,30,4
"exp_n64",0.900242555940662,30,30
"exp_n64",0.901936604542597,30,3
"exp_n64",0.915566989245447,30,2
"exp_n64",0.9185161095077,73,0
"exp_n64",0.923255922165821,17,3
"exp_n64",0.92738769364483,36,2
"exp_n64",0.931388353098045,30,0
