Study,Stage,Study_Type,Pesticide,Species,Family,Duration_h,Method,Application_Rate,Unit,Survival,Body_Weight_g,SD,Body_Length_mm,ExposedSkin_cm2,N_Rep,Rep,N_Exp,N_Total,adj_sur_96,SE,dermaldose,Mortality,death,Exp
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,18.6,ug a.i./cm2,0.9,0.05,0.042808524,7.7,0.31,10,1,10,110,0.9,0.009572277,0.002465815,0.1,1,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,36.9,ug a.i./cm2,0.85,0.05,0.042808524,7.7,0.31,10,1,10,110,0.85,0.009572277,0.005036993,0.15,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,73.8,ug a.i./cm2,0.65,0.05,0.042808524,7.7,0.31,10,1,10,110,0.65,0.009572277,0.010376452,0.35,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,147.6,ug a.i./cm2,0.5,0.05,0.042808524,7.7,0.31,10,1,10,110,0.5,0.009572277,0.021375999,0.5,5,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,295.2,ug a.i./cm2,0.2,0.05,0.042808524,7.7,0.31,10,1,10,110,0.2,0.009572277,0.044035604,0.8,8,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,Hylidae,96,Overspray,18.6,ug a.i./cm2,0.83,0.18,0.036734694,12.1,0.77,9,1,9,81,0.83,0.008214127,0.002242986,0.17,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,Hylidae,96,Overspray,36.9,ug a.i./cm2,0.67,0.18,0.036734694,12.1,0.77,9,1,9,81,0.67,0.008214127,0.004581814,0.33,3,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,Hylidae,96,Overspray,73.8,ug a.i./cm2,0.5,0.18,0.036734694,12.1,0.77,9,1,9,81,0.5,0.008214127,0.015046809,0.5,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,Hylidae,96,Overspray,147.6,ug a.i./cm2,0.44,0.18,0.036734694,12.1,0.77,9,1,9,81,0.44,0.008214127,0.030997163,0.56,5,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,Hylidae,96,Overspray,295.2,ug a.i./cm2,0.05,0.18,0.036734694,12.1,0.77,9,1,9,81,0.05,0.008214127,0.063855672,0.95,9,1
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,Eleutherodactylidae,96,Overspray,37.4,ug a.i./cm2,0.85,1.285,0.0025,22.5,0.049,13,3,3,234,0.85,0.000559017,0.013101424,0.15,0,1
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,Eleutherodactylidae,96,Overspray,50.2,ug a.i./cm2,0.6,1.285,0.0025,22.5,0.049,13,3,3,234,0.6,0.000559017,0.017807637,0.4,1,1
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,Eleutherodactylidae,96,Overspray,62.8,ug a.i./cm2,0.28,1.285,0.0025,22.5,0.049,13,3,3,234,0.28,0.000559017,0.022491218,0.72,2,1
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,Eleutherodactylidae,96,Overspray,74.9,ug a.i./cm2,0.1,1.285,0.0025,22.5,0.049,13,3,3,234,0.1,0.000559017,0.027027197,0.9,3,1
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,Eleutherodactylidae,96,Overspray,112.3,ug a.i./cm2,0,1.285,0.0025,22.5,0.049,13,3,3,234,0,0.000559017,0.041229307,1,3,1
