set,Dose,N,Effect
exp_n1,0,285,0
exp_n1,6.84E-05,5,0
exp_n1,6.85E-05,9,6
exp_n1,7.00E-05,9,5
exp_n1,7.00E-05,5,1
exp_n1,7.17E-05,9,9
exp_n1,8.01E-05,10,2
exp_n1,8.26E-05,5,5
exp_n1,8.27E-05,10,6
exp_n1,0.000118353,5,0
exp_n1,0.000122828,10,3
exp_n1,0.000125157,10,6
exp_n1,0.000129723,5,2
exp_n1,0.000131389,3,0
exp_n1,0.000134905,10,3
exp_n1,0.000135688,9,0
exp_n1,0.000142409,9,0
exp_n1,0.000145105,5,0
exp_n1,0.000149565,3,1
exp_n1,0.000149759,5,4
exp_n1,0.000153934,10,2
exp_n1,0.000155624,5,5
exp_n1,0.000165907,5,0
exp_n1,0.000165959,9,8
exp_n1,0.000173996,3,3
exp_n1,0.000182242,9,1
exp_n1,0.000186632,5,5
exp_n1,0.000193628,10,9
exp_n1,0.000202509,9,0
exp_n1,0.000204806,10,10
exp_n1,0.000214464,10,8
exp_n1,0.000252668,9,3
exp_n1,0.000257195,10,6
exp_n1,0.000265459,3,2
exp_n1,0.000280191,5,5
exp_n1,0.000283267,5,2
exp_n1,0.000289189,5,0
exp_n1,0.000344323,3,3
exp_n1,0.000543806,9,2
exp_n10,0,285,0
exp_n10,6.60E-05,9,3
exp_n10,6.60E-05,5,0
exp_n10,6.75E-05,5,1
exp_n10,6.76E-05,9,5
exp_n10,6.94E-05,9,8
exp_n10,7.41E-05,10,6
exp_n10,8.64E-05,10,5
exp_n10,9.26E-05,5,5
exp_n10,0.000116465,10,1
exp_n10,0.000122365,5,0
exp_n10,0.000122434,3,0
exp_n10,0.000124496,10,5
exp_n10,0.000125618,5,2
exp_n10,0.000128388,5,5
exp_n10,0.000134694,10,1
exp_n10,0.000135543,5,0
exp_n10,0.000135693,3,1
exp_n10,0.00013675,5,5
exp_n10,0.00013845,10,2
exp_n10,0.000143236,5,4
exp_n10,0.000144178,9,0
exp_n10,0.00014609,9,4
exp_n10,0.000157855,9,7
exp_n10,0.000173986,5,0
exp_n10,0.000178027,10,10
exp_n10,0.00017917,9,0
exp_n10,0.000180642,3,3
exp_n10,0.000189175,5,0
exp_n10,0.000189349,9,2
exp_n10,0.000192048,10,8
exp_n10,0.00020557,10,5
exp_n10,0.000215884,3,2
exp_n10,0.000216704,9,0
exp_n10,0.000256489,3,3
exp_n10,0.000258056,5,5
exp_n10,0.000264111,10,9
exp_n10,0.000277461,9,1
exp_n10,0.000398528,5,0
exp_n100,0,285,0
exp_n100,6.93E-05,5,0
exp_n100,6.93E-05,9,4
exp_n100,7.14E-05,9,4
exp_n100,7.15E-05,5,0
exp_n100,7.37E-05,9,9
exp_n100,8.11E-05,10,4
exp_n100,8.17E-05,5,5
exp_n100,8.37E-05,10,7
exp_n100,0.000113907,5,0
exp_n100,0.000116431,5,0
exp_n100,0.000118639,5,2
exp_n100,0.000120246,3,0
exp_n100,0.000122591,10,3
exp_n100,0.000126481,10,2
exp_n100,0.00013872,5,5
exp_n100,0.00014055,10,0
exp_n100,0.000144423,9,3
exp_n100,0.000146313,9,0
exp_n100,0.000149346,5,5
exp_n100,0.000152717,10,3
exp_n100,0.000153992,3,2
exp_n100,0.000160571,5,0
exp_n100,0.000164349,5,3
exp_n100,0.000166469,9,7
exp_n100,0.000169296,3,2
exp_n100,0.000171785,5,0
exp_n100,0.000177426,10,10
exp_n100,0.000184843,9,0
exp_n100,0.000195181,10,8
exp_n100,0.000202377,9,0
exp_n100,0.000202379,10,9
exp_n100,0.000225604,3,3
exp_n100,0.000238492,5,2
exp_n100,0.000238816,3,1
exp_n100,0.000239044,9,1
exp_n100,0.000242187,10,6
exp_n100,0.000274833,5,5
exp_n100,0.000278606,9,4
exp_n1000,0,285,0
exp_n1000,8.23E-05,9,5
exp_n1000,8.23E-05,5,0
