"Dataset Index","Dose","N","Effect"
"exp_n1",0,30,0
"exp_n1",0.697205850043014,2,0
"exp_n1",0.700716645473081,30,4
"exp_n1",0.702490978241433,30,22
"exp_n1",0.734075308664963,30,19
"exp_n1",0.742444842103055,30,7
"exp_n1",0.746634350157175,2,0
"exp_n1",0.746828943758419,71,0
"exp_n1",0.753433674752884,30,7
"exp_n1",0.764388322454405,3,3
"exp_n1",0.767265506916875,3,0
"exp_n1",0.768177960339371,30,7
"exp_n1",0.789298988169297,30,21
"exp_n1",0.827310858212928,4,0
"exp_n1",0.82851906558742,30,25
"exp_n1",0.836099881339441,30,0
"exp_n1",0.839817967678103,30,3
"exp_n1",0.841059750104528,1,0
"exp_n1",0.841644315281148,5,0
"exp_n1",0.845450315903708,30,5
"exp_n1",0.848647130844622,30,30
"exp_n1",0.854003091169545,4,0
"exp_n1",0.857050070438822,30,2
"exp_n1",0.89616287383422,30,1
"exp_n1",0.908523266142849,30,3
"exp_n1",0.909068794903076,17,5
"exp_n1",0.909513519145962,30,30
"exp_n1",0.909568470005715,73,0
"exp_n1",0.91124018126633,30,3
"exp_n1",0.927156352147275,36,2
"exp_n1",0.943424636689369,30,14
"exp_n1",0.951643542251375,2,1
"exp_n1",0.983458197177137,30,30
"exp_n1",0.99179002699943,30,13
"exp_n1",0.99222022212322,30,15
"exp_n1",0.996733109350577,30,20
"exp_n1",0.999514076433235,30,15
"exp_n1",1.02808390979742,30,29
"exp_n1",1.05996284612201,4,1
"exp_n10",0,30,0
"exp_n10",0.68495536465378,2,0
"exp_n10",0.688135457079376,30,22
"exp_n10",0.698964183052324,30,6
"exp_n10",0.705321377965264,30,20
"exp_n10",0.732582101418673,71,0
"exp_n10",0.739563039811473,30,13
"exp_n10",0.740413472945564,30,6
"exp_n10",0.741059834590557,2,0
"exp_n10",0.744307368525818,3,3
"exp_n10",0.747363938583095,3,0
"exp_n10",0.758190088960481,30,6
"exp_n10",0.785888768551379,4,0
"exp_n10",0.789999220546762,30,24
"exp_n10",0.793630103989488,30,13
"exp_n10",0.821623024637459,4,0
"exp_n10",0.822536436464157,30,5
"exp_n10",0.82347676277513,30,0
"exp_n10",0.828440209321489,1,0
"exp_n10",0.833834770778439,30,30
"exp_n10",0.861644574110787,30,3
"exp_n10",0.862823666001571,5,0
"exp_n10",0.877762390017939,30,30
"exp_n10",0.884889395202241,30,1
"exp_n10",0.896896977141289,30,1
"exp_n10",0.909613208765308,73,0
"exp_n10",0.910242639414609,30,1
"exp_n10",0.915951180813312,17,2
"exp_n10",0.916712340997038,36,2
"exp_n10",0.917451425216886,30,0
"exp_n10",0.928006812535589,2,2
"exp_n10",0.937090372138632,30,14
"exp_n10",0.950837550448117,30,28
"exp_n10",0.960518749422669,30,20
"exp_n10",0.964811353656893,30,11
"exp_n10",0.969589943601197,30,11
"exp_n10",0.981704243887041,30,17
"exp_n10",0.992615177274195,30,28
"exp_n10",1.01961793160002,4,2
"exp_n100",0,30,0
"exp_n100",0.693207369998485,2,0
"exp_n100",0.700542457891647,30,22
"exp_n100",0.702037066719714,30,5
"exp_n100",0.730415362853263,30,24
"exp_n100",0.745313606542034,2,0
"exp_n100",0.74903229983336,71,0
"exp_n100",0.749468710062687,30,5
"exp_n100",0.751124405329406,3,0
