"","set","Dose","N","Effect"
"126","exp_n1000",0.000214653970655593,10,10
"127","exp_n1000",0.0002257675657298,10,1
"128","exp_n1000",0.000237162803040436,5,0
"129","exp_n1000",0.000245159630739561,9,0
"130","exp_n1000",0.000248400386545718,5,0
"131","exp_n1000",0.000257659911640897,10,10
"132","exp_n1000",0.00026673544521333,10,6
"133","exp_n1000",0.000269589807162396,5,5
"134","exp_n1000",0.000269849000999701,9,2
"135","exp_n1000",0.00028390808730006,9,6
"136","exp_n1000",0.000290320927296647,5,3
"137","exp_n101",0,282,14
"138","exp_n101",8.22182254713952e-05,10,7
"139","exp_n101",8.51793438143192e-05,5,5
"140","exp_n101",8.62190806207389e-05,9,9
"141","exp_n101",0.000123805576296553,5,0
"142","exp_n101",0.00012504036555359,10,1
"143","exp_n101",0.000126842747728282,9,0
"144","exp_n101",0.000128106866985744,5,1
"145","exp_n101",0.000134559004545673,9,5
"146","exp_n101",0.000142305107712368,5,0
"147","exp_n101",0.000143078595331204,10,8
"148","exp_n101",0.000146394029035523,9,0
"149","exp_n101",0.00014754524466595,10,4
"150","exp_n101",0.00014929021542489,9,1
"151","exp_n101",0.000153050542153108,5,3
"152","exp_n101",0.000153379175155771,5,4
"153","exp_n101",0.000155302033815412,10,5
"154","exp_n101",0.000156479631475571,9,6
"155","exp_n101",0.000162484516644918,5,4
"156","exp_n101",0.00017030883728602,5,0
"157","exp_n101",0.00017910137638511,10,0
"158","exp_n101",0.000184148365148156,5,0
"159","exp_n101",0.000186585296048737,9,2
"160","exp_n101",0.000195626607219147,10,10
"161","exp_n101",0.000209205431666804,10,2
"162","exp_n101",0.000214112636810157,9,1
"163","exp_n101",0.000215699373192084,5,0
"164","exp_n101",0.000239410208698789,5,5
"165","exp_n101",0.000239875749872562,9,0
"166","exp_n101",0.000247946771664676,10,8
"167","exp_n101",0.000267966596480629,5,3
"168","exp_n101",0.00026991068371122,9,5
"169","exp_n101",0.000272042643109386,10,3
"170","exp_n101",0.000274179712201514,5,2
"171","exp_n102",0,282,13
"172","exp_n102",8.12976970424725e-05,10,4
"173","exp_n102",8.41900601319362e-05,5,5
"174","exp_n102",8.64739864180488e-05,9,7
"175","exp_n102",0.000123970011608715,9,0
"176","exp_n102",0.000125589654529608,10,2
"177","exp_n102",0.000126753842837693,5,0
"178","exp_n102",0.00012832470983414,5,3
"179","exp_n102",0.000132216277602053,9,3
"180","exp_n102",0.000142392407389225,5,0
"181","exp_n102",0.000143814749473932,10,10
"182","exp_n102",0.000146115689827912,9,2
"183","exp_n102",0.000147110480972407,10,5
"184","exp_n102",0.000147551904511767,9,0
"185","exp_n102",0.000151422337549047,5,5
