"","Model","med"
"1","gamma",0.249470993061878
"2","hill",0.0344568664848192
"3","log-logistic",3.23572984914209e-07
"4","log-probit",0.122697095089125
"5","logistic",0.0184493941863318
"6","multistage",0.017611739442855
"7","probit",2.36614255570817e-05
"8","qlinear",0.383040307970717
"9","weibull",0.0673052054815782
