"Dataset Index","Dose","N","Effect"
"exp_n369",0,30,0
"exp_n369",0.703734844433711,2,0
"exp_n369",0.70733704457286,30,26
"exp_n369",0.711344413931449,30,8
"exp_n369",0.727979771622097,3,0
"exp_n369",0.737505481047757,30,24
"exp_n369",0.753782412702455,30,7
"exp_n369",0.757354655170007,30,12
"exp_n369",0.759720373949939,2,0
"exp_n369",0.764264607991267,71,0
"exp_n369",0.771477257396022,30,5
"exp_n369",0.77329274682867,3,3
"exp_n369",0.814841519817138,30,18
"exp_n369",0.83921058357173,30,8
"exp_n369",0.840449622586678,4,0
"exp_n369",0.843376722305236,4,0
"exp_n369",0.843437714968448,30,28
"exp_n369",0.848467054712777,1,0
"exp_n369",0.851738978579225,30,1
"exp_n369",0.856563894561261,30,2
"exp_n369",0.860642234056688,5,0
"exp_n369",0.877283228509158,30,30
"exp_n369",0.882516973121842,30,1
"exp_n369",0.908417620460048,30,3
"exp_n369",0.914146935801391,30,28
"exp_n369",0.91833164331742,17,1
"exp_n369",0.922588880492687,73,0
"exp_n369",0.924940696665156,30,2
"exp_n369",0.927436052422285,30,0
"exp_n369",0.932532062343503,36,1
"exp_n369",0.951957813867131,30,15
"exp_n369",0.953796428088706,2,1
"exp_n369",0.978431319297474,30,28
"exp_n369",0.997255878882408,30,17
"exp_n369",0.998143369886202,30,16
"exp_n369",1.00491823073694,30,8
"exp_n369",1.00958049288873,30,13
"exp_n369",1.03213841509295,30,28
"exp_n369",1.06087899958611,4,0
"exp_n37",0,30,0
"exp_n37",0.696358992926097,30,5
"exp_n37",0.709087780770133,30,26
"exp_n37",0.713331194260699,2,0
"exp_n37",0.737284936420443,30,5
"exp_n37",0.754088615959971,30,7
"exp_n37",0.754319975475587,2,0
"exp_n37",0.756281154667641,3,0
"exp_n37",0.761279233922103,30,20
"exp_n37",0.763922760463755,71,0
"exp_n37",0.771903668227127,3,3
"exp_n37",0.777143211864359,30,3
"exp_n37",0.821061930050464,30,17
"exp_n37",0.826870870131871,5,0
