"Dataset Index","Dose","N","Effect"
"exp_n189",0,30,0
"exp_n189",0.698139908710918,2,0
"exp_n189",0.699435721002667,30,22
"exp_n189",0.703799710190179,30,5
"exp_n189",0.734781909538149,3,0
"exp_n189",0.735715049274764,30,21
"exp_n189",0.746493423873539,71,0
"exp_n189",0.746674388579578,30,7
"exp_n189",0.754056103126223,30,7
"exp_n189",0.756086530105966,2,0
"exp_n189",0.763572426585325,3,3
"exp_n189",0.774683275583046,30,7
"exp_n189",0.798200910159451,30,19
"exp_n189",0.823942076324349,30,26
"exp_n189",0.827483170048141,30,30
"exp_n189",0.829333362784806,4,0
"exp_n189",0.839834306301298,30,6
"exp_n189",0.840886297221812,30,1
"exp_n189",0.843678250200422,1,0
"exp_n189",0.847319204958434,4,0
"exp_n189",0.856279725147442,30,1
"exp_n189",0.864504501434887,5,0
"exp_n189",0.879372296469777,30,1
"exp_n189",0.89845627510534,30,0
"exp_n189",0.913874582926028,30,29
"exp_n189",0.916923082237897,17,1
"exp_n189",0.92155546266693,30,4
"exp_n189",0.922055189907302,73,0
"exp_n189",0.929104175810075,30,0
"exp_n189",0.933049580397966,36,5
"exp_n189",0.943241785469633,2,2
"exp_n189",0.952287331715537,30,15
"exp_n189",0.981246420231141,30,29
"exp_n189",0.994120411433343,30,14
"exp_n189",0.994328807319281,30,19
"exp_n189",1.00251792576871,30,15
"exp_n189",1.01301792921933,30,14
"exp_n189",1.02613434544791,30,29
"exp_n189",1.03448642980991,4,2
"exp_n19",0,30,0
"exp_n19",0.692078086493861,30,21
"exp_n19",0.692185631301552,2,0
"exp_n19",0.711218546036807,30,7
"exp_n19",0.715117155314292,30,24
"exp_n19",0.724799140906249,3,0
"exp_n19",0.733647662144915,71,0
"exp_n19",0.746637246759096,2,0
"exp_n19",0.748310145907019,30,10
"exp_n19",0.753242108661381,3,3
"exp_n19",0.757586790725982,30,5
"exp_n19",0.760142658173125,30,10
"exp_n19",0.78776221159895,30,16
"exp_n19",0.803078013136353,30,30
"exp_n19",0.803524531170375,30,27
"exp_n19",0.811507225334205,4,0
"exp_n19",0.822713680970932,4,0
"exp_n19",0.832945764047265,30,3
"exp_n19",0.833172487021118,30,2
"exp_n19",0.836232062074678,1,0
"exp_n19",0.870015090612872,5,0
"exp_n19",0.875063396564247,30,29
"exp_n19",0.878182782905997,30,2
"exp_n19",0.893691783324459,30,2
"exp_n19",0.912724333515778,30,2
"exp_n19",0.920131066130345,30,0
"exp_n19",0.920729405681512,17,4
"exp_n19",0.92232124835174,73,0
"exp_n19",0.924866142255844,36,3
"exp_n19",0.93098092232521,30,0
"exp_n19",0.933467921366436,2,0
"exp_n19",0.940197513831748,30,14
"exp_n19",0.962057277166805,30,23
"exp_n19",0.967674957431432,30,18
"exp_n19",0.968390629086824,30,17
"exp_n19",0.986428002616203,30,13
"exp_n19",0.989108342138975,30,20
"exp_n19",1.00143684915818,30,28
"exp_n19",1.0127190727426,4,2
"exp_n190",0,30,0
"exp_n190",0.702736708134331,2,0
"exp_n190",0.709740845184449,30,21
"exp_n190",0.720640437510554,3,0
"exp_n190",0.724721788879327,30,5
"exp_n190",0.73038397992841,30,21
"exp_n190",0.757853505062744,30,12
"exp_n190",0.765695223174236,2,0
"exp_n190",0.766559976029364,30,5
"exp_n190",0.767953981034705,71,0
"exp_n190",0.780912313567783,30,12
"exp_n190",0.782723873352043,3,3
"exp_n190",0.795682671250937,30,19
"exp_n190",0.826899872788305,4,0
"exp_n190",0.833204491440781,30,26
"exp_n190",0.836842430888246,30,30
"exp_n190",0.852025820872282,1,0
"exp_n190",0.85458108864714,30,1
"exp_n190",0.855380436756844,4,0
"exp_n190",0.858680353319885,30,6
