"Dataset Index","Dose","N","Effect"
"exp_n459",0,30,0
"exp_n459",0.698916690153607,30,20
"exp_n459",0.701465885687148,2,0
"exp_n459",0.724470994854164,30,3
"exp_n459",0.725738720821207,30,20
"exp_n459",0.752700751694538,71,0
"exp_n459",0.7528308927195,2,0
"exp_n459",0.757965590708153,3,0
"exp_n459",0.762667351218147,30,2
"exp_n459",0.763550081791354,3,3
"exp_n459",0.765370438020517,30,10
"exp_n459",0.769715003294709,30,7
"exp_n459",0.804847725292284,30,21
"exp_n459",0.812998741677345,30,30
"exp_n459",0.817751913486618,4,0
"exp_n459",0.820078046243314,30,25
"exp_n459",0.823359948772303,4,0
"exp_n459",0.844335776056315,1,0
"exp_n459",0.845149621823957,30,1
"exp_n459",0.848783166629207,30,7
"exp_n459",0.874038869325428,5,0
"exp_n459",0.881649597175463,30,5
"exp_n459",0.892886946436803,30,29
"exp_n459",0.896900157072615,30,1
"exp_n459",0.918635651410961,30,2
"exp_n459",0.920472300047739,30,6
"exp_n459",0.931428657055857,17,1
"exp_n459",0.931524720044154,73,0
"exp_n459",0.933155277636539,30,1
"exp_n459",0.935040987310336,36,3
"exp_n459",0.947006127490319,30,15
"exp_n459",0.948862361368526,2,1
"exp_n459",0.973190995291554,30,28
"exp_n459",0.981559760367814,30,20
"exp_n459",0.982043250089822,30,14
"exp_n459",0.987399620879968,30,13
"exp_n459",1.00127438487953,30,18
"exp_n459",1.02440198562919,30,28
"exp_n459",1.03341796601296,4,1
"exp_n46",0,30,0
"exp_n46",0.678693588982886,30,25
"exp_n46",0.687730517320974,2,0
"exp_n46",0.700370604479613,30,11
"exp_n46",0.705515141992734,30,22
"exp_n46",0.734093474797712,2,0
"exp_n46",0.736638008387683,30,10
"exp_n46",0.740741325757311,3,0
"exp_n46",0.74119088863334,71,0
"exp_n46",0.741799441592076,3,3
"exp_n46",0.744279533772772,30,3
"exp_n46",0.756682252778229,30,14
"exp_n46",0.767283058642028,30,19
"exp_n46",0.787591004907605,30,30
"exp_n46",0.792006482860218,4,0
"exp_n46",0.80509053691495,30,24
"exp_n46",0.819658639578444,4,0
"exp_n46",0.821356248691037,1,0
"exp_n46",0.826290255459588,30,1
"exp_n46",0.830213899683681,30,4
"exp_n46",0.853279309304986,5,0
"exp_n46",0.857198057756985,30,2
"exp_n46",0.869338744107448,30,2
"exp_n46",0.873690648823778,30,28
"exp_n46",0.894475583295279,30,2
"exp_n46",0.897847286675941,17,0
"exp_n46",0.901464661231125,30,0
"exp_n46",0.903572138864376,36,5
"exp_n46",0.904265548806208,30,2
"exp_n46",0.906186894913275,73,0
"exp_n46",0.920790914501166,30,16
"exp_n46",0.925436624809569,2,1
"exp_n46",0.939831020685985,30,27
"exp_n46",0.954175134693519,30,17
"exp_n46",0.955466326958244,30,16
"exp_n46",0.956675041694679,30,14
"exp_n46",0.966767156289703,30,18
"exp_n46",0.989069028665793,30,29
"exp_n46",1.01010859419622,4,0
"exp_n460",0,30,0
"exp_n460",0.69467343180877,2,0
"exp_n460",0.695559182919564,30,24
"exp_n460",0.720742926496532,30,22
"exp_n460",0.727362415242457,30,4
"exp_n460",0.741806954930585,3,0
"exp_n460",0.752070151247554,30,14
"exp_n460",0.752291052881074,30,5
"exp_n460",0.758156855370518,2,0
"exp_n460",0.758631447072564,71,0
"exp_n460",0.759115347998661,3,3
"exp_n460",0.774917152239032,30,8
"exp_n460",0.791210557008954,30,15
"exp_n460",0.801367831324238,30,30
"exp_n460",0.811119052132263,30,22
"exp_n460",0.815259125942178,4,0
"exp_n460",0.823453523158778,4,0
"exp_n460",0.839330075019597,30,6
"exp_n460",0.843068325203278,30,0
"exp_n460",0.846123822335958,1,0
"exp_n460",0.868460708679303,30,5
"exp_n460",0.880899178967675,5,0
"exp_n460",0.887673522484707,30,29
"exp_n460",0.89374574509055,30,2
"exp_n460",0.911301680154642,30,1
"exp_n460",0.921409078836066,30,0
"exp_n460",0.924902481993552,73,0
"exp_n460",0.925661583034092,17,0
"exp_n460",0.934941779631067,30,0
"exp_n460",0.942518792230245,2,1
"exp_n460",0.945585379302667,36,4
"exp_n460",0.947420642910085,30,17
"exp_n460",0.971743879031287,30,25
"exp_n460",0.972094395615944,30,18
"exp_n460",0.98568798295834,30,18
"exp_n460",0.9859914986167,30,16
"exp_n460",0.989773077730394,30,17
"exp_n460",1.01633962069744,30,28
"exp_n460",1.02930351687383,4,0
"exp_n461",0,30,0
"exp_n461",0.711519137251343,30,25
"exp_n461",0.711927461460896,2,0
"exp_n461",0.715239621721525,30,6
"exp_n461",0.742079823975468,30,22
"exp_n461",0.758126449119059,71,0
"exp_n461",0.758671092186624,2,0
"exp_n461",0.764136309733545,3,0
"exp_n461",0.76727669180531,30,4
"exp_n461",0.771403145032579,30,11
"exp_n461",0.780579738076872,3,3
"exp_n461",0.789150941618357,30,9
"exp_n461",0.825085565344105,30,13
"exp_n461",0.830010685560458,30,23
"exp_n461",0.838753417222143,30,30
"exp_n461",0.843581493551729,4,0
"exp_n461",0.854239616549947,30,4
"exp_n461",0.854510880565739,30,1
"exp_n461",0.858898667631077,1,0
"exp_n461",0.859486758103672,4,0
"exp_n461",0.866923269654377,5,0
"exp_n461",0.880117897177848,30,3
"exp_n461",0.897698291898808,30,1
"exp_n461",0.91261117968314,30,30
"exp_n461",0.929414672085229,30,4
"exp_n461",0.939539145948932,17,3
"exp_n461",0.94486909113911,30,2
"exp_n461",0.950065870159485,30,2
"exp_n461",0.954419475185439,73,0
"exp_n461",0.959036940234263,36,1
"exp_n461",0.966869104494029,30,13
"exp_n461",0.97320462739685,2,1
"exp_n461",0.991906537576905,30,27
"exp_n461",1.00935355562344,30,17
"exp_n461",1.01148243943989,30,11
"exp_n461",1.01156773928037,30,25
"exp_n461",1.01801175119247,30,13
"exp_n461",1.03730321377376,30,29
"exp_n461",1.0775836215232,4,1
"exp_n462",0,30,0
"exp_n462",0.698292439796222,2,0
"exp_n462",0.701008837341391,30,26
"exp_n462",0.70550211830627,30,6
"exp_n462",0.732496464862953,30,22
"exp_n462",0.746550307456322,30,2
"exp_n462",0.7524844965818,71,0
"exp_n462",0.754364506932006,2,0
"exp_n462",0.756949939403315,30,3
"exp_n462",0.757362101711033,3,3
"exp_n462",0.774791314361154,30,8
"exp_n462",0.79141231645012,3,0
"exp_n462",0.80167110481323,30,17
"exp_n462",0.83123820359164,30,28
"exp_n462",0.836098808190514,4,0
"exp_n462",0.837421834663815,30,0
"exp_n462",0.839620157244584,1,0
"exp_n462",0.841624852251132,30,2
"exp_n462",0.841814275890036,5,0
"exp_n462",0.842613562687125,30,2
"exp_n462",0.861521315534597,4,0
"exp_n462",0.865360178279042,30,30
"exp_n462",0.866998333750243,30,3
"exp_n462",0.896343414955353,30,6
"exp_n462",0.903998362169266,17,2
"exp_n462",0.912746274560445,30,0
"exp_n462",0.913432968772639,30,28
"exp_n462",0.913506587854194,73,0
"exp_n462",0.91389159043475,30,2
"exp_n462",0.937036645660626,36,0
"exp_n462",0.946619897506288,30,16
"exp_n462",0.947964744406683,2,2
"exp_n462",0.986634208221112,30,26
"exp_n462",0.995307756478899,30,14
"exp_n462",1.00257207974219,30,15
"exp_n462",1.00725334215359,30,21
"exp_n462",1.01346456914053,30,11
"exp_n462",1.02958772127983,30,28
"exp_n462",1.06427103771401,4,1
"exp_n463",0,30,0
"exp_n463",0.713897641642848,30,24
"exp_n463",0.717938580563591,2,0
"exp_n463",0.736525309531403,30,5
"exp_n463",0.74642793234705,30,23
