"Dataset Index","Dose","N","Effect"
"exp_n729",0,30,0
"exp_n729",0.665744342662335,30,22
"exp_n729",0.670992056508902,2,0
"exp_n729",0.685814709430239,30,5
"exp_n729",0.69200763034542,30,18
"exp_n729",0.708076059312545,3,0
"exp_n729",0.715679306983564,30,9
"exp_n729",0.716353727899557,2,0
"exp_n729",0.718555758362849,30,3
"exp_n729",0.726187974488768,71,0
"exp_n729",0.732361480803597,3,3
"exp_n729",0.74715476905516,30,11
"exp_n729",0.76715583117724,30,20
"exp_n729",0.769787902963632,30,30
"exp_n729",0.782787283730822,4,0
"exp_n729",0.783850000812637,30,26
"exp_n729",0.785925666194883,4,0
"exp_n729",0.805490903585918,1,0
"exp_n729",0.805936879655846,30,6
"exp_n729",0.816154469506665,30,2
"exp_n729",0.835257676006685,30,3
"exp_n729",0.837387140054132,5,0
"exp_n729",0.852031214013043,30,29
"exp_n729",0.861559489047408,30,3
"exp_n729",0.875286295820175,30,3
"exp_n729",0.8815234323967,17,3
"exp_n729",0.883928013183749,30,5
"exp_n729",0.890088841536796,73,0
"exp_n729",0.898378138675275,36,4
"exp_n729",0.907490225054465,2,2
"exp_n729",0.90866171773095,30,16
"exp_n729",0.910878679726127,30,0
"exp_n729",0.929212824818493,30,26
"exp_n729",0.933253515565551,30,21
"exp_n729",0.950048113446507,30,18
"exp_n729",0.95285405461706,30,12
"exp_n729",0.954283788829277,30,11
"exp_n729",0.971930373645163,30,29
"exp_n729",0.994981192846609,4,1
"exp_n73",0,30,0
"exp_n73",0.685016939358039,30,5
"exp_n73",0.701827625705348,2,0
"exp_n73",0.702549508904793,30,24
"exp_n73",0.735011198190251,30,4
"exp_n73",0.745156420440111,2,0
"exp_n73",0.748213347229074,71,0
"exp_n73",0.74950385472183,30,7
"exp_n73",0.75498306451912,30,14
"exp_n73",0.77417802645143,3,3
"exp_n73",0.775232845112265,3,0
"exp_n73",0.776456555620901,30,8
"exp_n73",0.811103926960059,30,15
"exp_n73",0.827768271573886,30,1
"exp_n73",0.831097922496375,30,1
"exp_n73",0.8321605806279,5,0
"exp_n73",0.833897490787033,30,3
"exp_n73",0.835136747218521,30,25
"exp_n73",0.841967672583652,1,0
"exp_n73",0.849846583799138,30,1
"exp_n73",0.866899950006486,4,0
"exp_n73",0.872078555606446,4,0
"exp_n73",0.886125902825591,30,3
"exp_n73",0.886592740308112,30,30
"exp_n73",0.896597415415852,30,0
"exp_n73",0.903973077845775,73,0
"exp_n73",0.912172037297548,17,3
"exp_n73",0.914349989555111,30,1
"exp_n73",0.932278051312659,30,28
"exp_n73",0.935205062071208,36,2
"exp_n73",0.946926274772358,30,14
"exp_n73",0.949021263879362,2,1
"exp_n73",0.990737411895947,30,28
"exp_n73",0.999777212257276,30,22
"exp_n73",1.00851065602419,30,19
"exp_n73",1.01049663692981,30,16
"exp_n73",1.01453294586646,30,7
"exp_n73",1.04947404984408,30,29
"exp_n73",1.08674736732339,4,4
"exp_n730",0,30,0
"exp_n730",0.696162434440117,2,0
"exp_n730",0.698956790073896,30,25
"exp_n730",0.714335210616252,30,7
"exp_n730",0.723348497080867,30,23
"exp_n730",0.745815059312618,2,0
"exp_n730",0.748498771092984,71,0
"exp_n730",0.748911503862739,30,8
"exp_n730",0.752761811064512,3,0
"exp_n730",0.755780397041998,30,10
"exp_n730",0.760529957950188,3,3
"exp_n730",0.780930806895311,30,9
"exp_n730",0.788902890750918,30,15
"exp_n730",0.802849522682458,30,24
"exp_n730",0.805199763091368,4,0
"exp_n730",0.834158046104673,1,0
"exp_n730",0.837038251767626,4,0
"exp_n730",0.838278560971766,30,30
"exp_n730",0.839365069821392,30,5
"exp_n730",0.842928951753829,30,1
"exp_n730",0.86677998223012,30,1
"exp_n730",0.869311118255031,5,0
"exp_n730",0.878919367961199,30,3
"exp_n730",0.898655773259551,30,30
"exp_n730",0.908419969486891,30,2
"exp_n730",0.921119373840736,30,1
"exp_n730",0.923804583358331,73,0
"exp_n730",0.92455203027224,17,5
"exp_n730",0.932514426614054,36,5
"exp_n730",0.935039072966601,30,0
"exp_n730",0.948753539639119,30,15
"exp_n730",0.949474644742363,2,1
"exp_n730",0.973098239899262,30,27
"exp_n730",0.976581510825808,30,12
"exp_n730",0.982206626743891,30,21
"exp_n730",0.991280550466079,30,14
"exp_n730",0.992777747808871,30,17
"exp_n730",1.0240847043284,30,30
"exp_n730",1.03311174221399,4,0
"exp_n731",0,30,0
"exp_n731",0.691650917682168,30,24
"exp_n731",0.698198400586494,2,0
"exp_n731",0.710737006679377,30,3
"exp_n731",0.716841826977266,30,21
"exp_n731",0.721442302252535,3,0
"exp_n731",0.741479402322701,2,0
"exp_n731",0.741802698047562,30,10
"exp_n731",0.749188121751578,30,5
"exp_n731",0.752497036386565,71,0
"exp_n731",0.757313247924037,3,3
"exp_n731",0.773012250773417,30,9
"exp_n731",0.780321554244727,30,23
"exp_n731",0.78520325080357,30,30
"exp_n731",0.795074070622043,30,23
"exp_n731",0.805373592976208,4,0
"exp_n731",0.823049580018068,4,0
"exp_n731",0.833415686872052,30,5
"exp_n731",0.834022559969901,30,2
"exp_n731",0.834857163024588,1,0
"exp_n731",0.870152939690005,30,6
"exp_n731",0.87444388852844,5,0
"exp_n731",0.885948135471443,30,29
"exp_n731",0.892453594111156,30,0
"exp_n731",0.901556422663038,30,2
"exp_n731",0.913219334982586,73,0
"exp_n731",0.913755455017952,17,2
"exp_n731",0.918719591203037,30,0
"exp_n731",0.930407143539796,36,0
"exp_n731",0.932111659309185,2,0
"exp_n731",0.932173432666909,30,1
"exp_n731",0.943637202855881,30,12
"exp_n731",0.956806890664507,30,28
"exp_n731",0.969159910174336,30,19
"exp_n731",0.971409091774653,30,15
"exp_n731",0.976503245830595,30,12
"exp_n731",0.992968509227149,30,13
"exp_n731",0.997060284689445,30,29
"exp_n731",1.01452860167211,4,1
"exp_n732",0,30,0
"exp_n732",0.697667611185227,2,0
"exp_n732",0.704778943567,30,24
"exp_n732",0.713530397692509,30,8
"exp_n732",0.733703626020348,30,19
"exp_n732",0.752556075677471,30,12
"exp_n732",0.755913609068283,71,0
"exp_n732",0.764673670160454,3,3
"exp_n732",0.765862690564425,2,0
"exp_n732",0.76985777321957,3,0
"exp_n732",0.773978774308711,30,3
"exp_n732",0.78272102425712,30,6
"exp_n732",0.808070645559396,30,15
"exp_n732",0.813788364797772,30,26
"exp_n732",0.821830949158052,4,0
"exp_n732",0.839494944747413,4,0
"exp_n732",0.840559407414832,1,0
"exp_n732",0.846793692949065,30,1
"exp_n732",0.847807798602257,30,6
"exp_n732",0.866537315810208,5,0
"exp_n732",0.866813776809541,30,30
"exp_n732",0.876170502956543,30,2
"exp_n732",0.892785852686347,30,3
"exp_n732",0.895347220523117,30,29
"exp_n732",0.909521688029936,30,4
"exp_n732",0.921360192426545,30,1
"exp_n732",0.92758538032446,73,0
"exp_n732",0.929567734257828,17,2
"exp_n732",0.933185630111875,30,2
"exp_n732",0.946739795609649,36,1
"exp_n732",0.94926829017335,30,12
"exp_n732",0.958174183807774,2,1
"exp_n732",0.97221240802374,30,30
"exp_n732",0.992192599195184,30,12
"exp_n732",0.992995782829196,30,16
"exp_n732",0.995769510445487,30,19
"exp_n732",0.999470918433887,30,13
"exp_n732",1.01909996489516,30,30
"exp_n732",1.04439648611503,4,3
"exp_n733",0,30,0
"exp_n733",0.68711430127502,30,2
"exp_n733",0.701878764458674,30,20
"exp_n733",0.711244224312781,2,0
"exp_n733",0.7406511192784,30,9
"exp_n733",0.747031262248262,30,8
"exp_n733",0.748580047091088,30,25
"exp_n733",0.758864856117836,71,0
"exp_n733",0.759449575682131,2,0
"exp_n733",0.76571260557182,3,3
"exp_n733",0.767285449804528,3,0
"exp_n733",0.773270947179584,30,11
"exp_n733",0.823381518561833,30,4
"exp_n733",0.824770026523766,5,0
"exp_n733",0.834707631924009,30,18
"exp_n733",0.839229232226631,30,6
"exp_n733",0.844260030335913,1,0
"exp_n733",0.84720427393883,30,23
"exp_n733",0.847425883661225,30,0
"exp_n733",0.858569722792823,30,1
"exp_n733",0.8596876163364,4,0
"exp_n733",0.884001873296954,4,0
"exp_n733",0.895948403249159,30,1
"exp_n733",0.911322863100635,30,0
"exp_n733",0.914647162865075,73,0
"exp_n733",0.914851086921249,17,4
"exp_n733",0.917898922198865,30,30
"exp_n733",0.919592702144818,30,3
"exp_n733",0.927751973894813,36,2
"exp_n733",0.939437381212685,30,28
"exp_n733",0.95594250229524,30,16
"exp_n733",0.95880222258055,2,1
"exp_n733",0.998406187495321,30,28
"exp_n733",1.01269485186692,30,16
"exp_n733",1.01821594850455,30,9
"exp_n733",1.01987683487051,30,15
"exp_n733",1.03554777786534,30,24
"exp_n733",1.05752124349141,30,30
"exp_n733",1.10133902347286,4,1
"exp_n734",0,30,0
"exp_n734",0.682293925347951,30,6
"exp_n734",0.691753406807453,2,0
"exp_n734",0.693787420227832,30,23
"exp_n734",0.73761721963183,30,6
"exp_n734",0.738589110025553,30,19
"exp_n734",0.739784624701568,30,11
"exp_n734",0.74007413275204,2,0
"exp_n734",0.745122555763927,71,0
"exp_n734",0.747039632087265,3,0
"exp_n734",0.759412087415527,30,8
"exp_n734",0.762095685826318,3,3
"exp_n734",0.792330913277244,30,22
"exp_n734",0.813402018546666,30,3
"exp_n734",0.819852324025435,5,0
"exp_n734",0.822459433895903,30,2
"exp_n734",0.826184095246115,30,3
"exp_n734",0.8290893562228,1,0
"exp_n734",0.841442333428108,30,23
"exp_n734",0.841965478477012,4,0
"exp_n734",0.843774124443324,30,4
"exp_n734",0.857016234635755,4,0
"exp_n734",0.876748410714621,30,30
"exp_n734",0.879739047071279,30,2
"exp_n734",0.881316939214471,30,5
"exp_n734",0.895685120171062,17,5
"exp_n734",0.89901039550145,73,0
"exp_n734",0.900648289221289,30,4
"exp_n734",0.918156471305617,30,28
"exp_n734",0.921255960163552,36,2
"exp_n734",0.933510815127482,30,14
"exp_n734",0.938319369012659,2,2
"exp_n734",0.976687980421375,30,26
"exp_n734",0.988944238456312,30,14
"exp_n734",0.995905876764868,30,18
"exp_n734",0.997735891508864,30,14
"exp_n734",1.00262208187756,30,17
"exp_n734",1.03692113683711,30,27
"exp_n734",1.08010109183422,4,3
"exp_n735",0,30,0
"exp_n735",0.709723069942063,30,21
"exp_n735",0.71063077775126,2,0
"exp_n735",0.726190244675301,30,8
"exp_n735",0.737718301824297,30,21
"exp_n735",0.75085099784853,2,0
"exp_n735",0.75440405857297,30,2
"exp_n735",0.758088824935151,71,0
"exp_n735",0.763552904860324,30,8
"exp_n735",0.768995242016323,3,0
"exp_n735",0.773611419613738,30,16
"exp_n735",0.777158974067934,3,3
"exp_n735",0.791510644459171,30,18
"exp_n735",0.819575661049398,30,23
"exp_n735",0.832459351922393,30,30
"exp_n735",0.840012312350388,4,0
"exp_n735",0.841218713477018,30,1
"exp_n735",0.843903395429313,4,0
"exp_n735",0.847837484540637,1,0
"exp_n735",0.852092993601583,30,4
"exp_n735",0.871477207007978,5,0
"exp_n735",0.874366889833378,30,2
"exp_n735",0.896131835875458,30,3
"exp_n735",0.911885285508191,30,29
"exp_n735",0.914465978305569,30,2
"exp_n735",0.92837955391115,30,2
"exp_n735",0.931410751049935,17,4
"exp_n735",0.931805588038857,30,1
"exp_n735",0.932187031147674,73,0
"exp_n735",0.941969388381912,36,5
"exp_n735",0.956736521362335,30,14
"exp_n735",0.960435174477996,2,2
"exp_n735",0.978221733305987,30,29
"exp_n735",0.996483996254271,30,20
"exp_n735",0.997944831656724,30,10
"exp_n735",1.00378799008717,30,20
"exp_n735",1.00758408515277,30,15
"exp_n735",1.02452630176704,30,28
"exp_n735",1.06198256638291,4,1
"exp_n736",0,30,0
"exp_n736",0.695554701761344,2,0
"exp_n736",0.700681935809837,30,24
"exp_n736",0.715658164219582,30,5
"exp_n736",0.726726979994642,30,24
"exp_n736",0.743856160670134,3,0
"exp_n736",0.745919475404458,30,3
"exp_n736",0.751561424770149,30,5
"exp_n736",0.752854079170044,3,3
"exp_n736",0.752936839291943,71,0
"exp_n736",0.753286596825125,2,0
"exp_n736",0.761376544507477,30,12
"exp_n736",0.800141324445953,30,18
"exp_n736",0.816063432958133,4,0
"exp_n736",0.823692595248214,30,24
"exp_n736",0.832943000955795,4,0
"exp_n736",0.840508796454706,30,30
"exp_n736",0.840994015602721,1,0
"exp_n736",0.842254979825304,30,4
"exp_n736",0.843078092961046,30,2
"exp_n736",0.87807626537337,30,3
"exp_n736",0.884567904887366,5,0
"exp_n736",0.884670121699977,30,2
"exp_n736",0.897482001182184,30,30
"exp_n736",0.911623230229803,30,3
"exp_n736",0.92117816703631,17,2
"exp_n736",0.924419725338775,73,0
"exp_n736",0.929161381899173,30,1
"exp_n736",0.933915317733593,30,1
"exp_n736",0.937497569957357,36,1
"exp_n736",0.942235141281323,2,2
"exp_n736",0.943585667459301,30,15
"exp_n736",0.975033348322901,30,13
"exp_n736",0.977958177836229,30,25
"exp_n736",0.984781216514673,30,14
"exp_n736",0.984932806709707,30,21
"exp_n736",0.99259240456007,30,15
"exp_n736",1.00844576265873,30,30
"exp_n736",1.03016546012507,4,1
"exp_n737",0,30,0
"exp_n737",0.686962838237144,30,18
"exp_n737",0.688936708071915,2,0
"exp_n737",0.707754861354005,30,9
"exp_n737",0.709740028033306,30,22
"exp_n737",0.728437304571888,3,0
"exp_n737",0.736804697975708,2,0
"exp_n737",0.745444884462997,71,0
"exp_n737",0.746903968551584,30,9
"exp_n737",0.749468765719799,30,5
"exp_n737",0.762432010109077,3,3
"exp_n737",0.764924475599413,30,8
"exp_n737",0.785136230951006,30,19
"exp_n737",0.788604962872982,4,0
"exp_n737",0.789522212071636,30,26
"exp_n737",0.80820308248808,30,30
"exp_n737",0.810561291872991,4,0
"exp_n737",0.830158925625461,1,0
"exp_n737",0.830811733352317,30,2
"exp_n737",0.835044780252497,30,5
"exp_n737",0.86626743209712,5,0
"exp_n737",0.870993698846514,30,28
"exp_n737",0.873358719344763,30,3
"exp_n737",0.883281125323657,30,4
"exp_n737",0.900056954304821,30,3
"exp_n737",0.906059973391699,17,5
"exp_n737",0.9120896258647,36,0
"exp_n737",0.913224924821824,30,3
"exp_n737",0.915413550254794,73,0
"exp_n737",0.923569652128066,30,2
"exp_n737",0.932807088315609,2,0
"exp_n737",0.939083410162135,30,12
"exp_n737",0.951416829257105,30,22
"exp_n737",0.955268357535919,30,29
"exp_n737",0.967436673917841,30,14
"exp_n737",0.9709401194074,30,10
"exp_n737",0.974752339062299,30,22
"exp_n737",1.00829875386552,30,29
"exp_n737",1.01844538871413,4,2
"exp_n738",0,30,0
"exp_n738",0.683426478821593,30,8
"exp_n738",0.707392462972787,2,0
"exp_n738",0.707690021457501,30,26
"exp_n738",0.738044678747522,30,6
"exp_n738",0.743744107367767,2,0
"exp_n738",0.750452814810117,30,11
"exp_n738",0.75142111778131,71,0
"exp_n738",0.76343141666232,30,24
"exp_n738",0.770809289108432,3,3
"exp_n738",0.773444542875763,30,13
"exp_n738",0.774282267063413,3,0
"exp_n738",0.806688521831631,30,21
"exp_n738",0.812894097507541,30,3
"exp_n738",0.815819425900064,5,0
"exp_n738",0.838379546247423,30,1
"exp_n738",0.842111846781836,30,4
"exp_n738",0.842278123374319,1,0
"exp_n738",0.844488183306031,30,6
"exp_n738",0.849381650611422,30,25
"exp_n738",0.88037290714539,4,0
"exp_n738",0.890339331566958,4,0
"exp_n738",0.891106284360364,30,0
"exp_n738",0.891411134113026,30,5
"exp_n738",0.90970241578703,73,0
"exp_n738",0.918663745377362,30,6
"exp_n738",0.920548116501617,17,4
"exp_n738",0.923539090764514,30,30
"exp_n738",0.926629585398689,36,2
"exp_n738",0.951628772241522,30,30
"exp_n738",0.95792235907674,2,1
"exp_n738",0.961135482969353,30,13
"exp_n738",1.00174431035002,30,14
"exp_n738",1.01042198953389,30,26
"exp_n738",1.01277975930871,30,20
"exp_n738",1.01356436265308,30,16
"exp_n738",1.03614918058292,30,20
"exp_n738",1.06410236574523,30,30
"exp_n738",1.10967249524234,4,1
"exp_n739",0,30,0
"exp_n739",0.696899958736693,30,20
"exp_n739",0.699636307108422,30,6
"exp_n739",0.701640556918218,2,0
"exp_n739",0.739159671052975,30,20
"exp_n739",0.739742624590124,30,10
"exp_n739",0.742409263591649,30,5
"exp_n739",0.745220133057054,2,0
"exp_n739",0.746792317207533,71,0
"exp_n739",0.756503499253425,3,3
"exp_n739",0.760724321148846,3,0
"exp_n739",0.772066055289175,30,10
"exp_n739",0.800322494806474,30,14
"exp_n739",0.824116860911435,30,23
"exp_n739",0.827329013642869,4,0
"exp_n739",0.834303268096988,30,1
"exp_n739",0.839092076023867,30,2
"exp_n739",0.839765568514358,4,0
"exp_n739",0.840021317534559,1,0
"exp_n739",0.8430016233627,30,4
"exp_n739",0.845075205150669,5,0
"exp_n739",0.864110191440351,30,3
"exp_n739",0.867213031573838,30,30
"exp_n739",0.904712723430731,30,2
"exp_n739",0.909210476573246,30,29
"exp_n739",0.911379904242938,73,0
"exp_n739",0.913679861302105,17,0
"exp_n739",0.915577009350993,30,1
"exp_n739",0.916026978868723,30,3
"exp_n739",0.929271501282682,36,1
"exp_n739",0.943817548784635,2,1
"exp_n739",0.945615140071849,30,15
"exp_n739",0.977385752406171,30,27
"exp_n739",0.988868425999577,30,23
"exp_n739",0.99473837614904,30,15
"exp_n739",0.995199403233014,30,17
"exp_n739",0.997405627498845,30,19
"exp_n739",1.01976511035364,30,29
"exp_n739",1.05110422824017,4,2
"exp_n74",0,30,0
"exp_n74",0.698898431505793,30,23
"exp_n74",0.699690994648436,2,0
"exp_n74",0.702861349600839,30,5
"exp_n74",0.719340802831414,30,19
"exp_n74",0.740000408735073,30,3
"exp_n74",0.743346440826368,2,0
"exp_n74",0.746104710986296,71,0
"exp_n74",0.74882604596434,3,0
"exp_n74",0.749650765942159,30,5
"exp_n74",0.7556453299571,30,8
"exp_n74",0.760110620454612,3,3
"exp_n74",0.794480776749,30,25
"exp_n74",0.800503450235267,30,22
"exp_n74",0.828501824671816,30,3
