"Dataset Index","Dose","N","Effect"
"exp_n279",0,30,0
"exp_n279",0.710779466178185,2,0
"exp_n279",0.711862686100354,30,23
"exp_n279",0.718535923103546,30,6
"exp_n279",0.735141932172471,30,22
"exp_n279",0.756407369792229,71,0
"exp_n279",0.757248281500469,2,0
"exp_n279",0.763878504755042,3,0
"exp_n279",0.765665390226564,30,4
"exp_n279",0.766293904003979,30,10
"exp_n279",0.771308518676231,3,3
"exp_n279",0.783293908176654,30,11
"exp_n279",0.793278022787561,30,17
"exp_n279",0.819738928197358,30,24
"exp_n279",0.822701028229272,4,0
"exp_n279",0.836258145097936,30,30
"exp_n279",0.841239521645694,4,0
"exp_n279",0.851194743341465,1,0
"exp_n279",0.851312818489397,30,1
"exp_n279",0.852145599591006,30,2
"exp_n279",0.872609682246741,30,1
"exp_n279",0.883456120011713,5,0
"exp_n279",0.899928116780843,30,4
"exp_n279",0.908444335485194,30,29
"exp_n279",0.922327849550734,30,1
"exp_n279",0.929190093133519,73,0
"exp_n279",0.938973691761257,30,4
"exp_n279",0.940780164412448,36,0
"exp_n279",0.942671421707478,30,1
"exp_n279",0.945396986410196,17,5
"exp_n279",0.959591543453341,2,1
"exp_n279",0.961911099701749,30,13
"exp_n279",0.973030375992996,30,29
"exp_n279",0.997582286767635,30,12
"exp_n279",0.997633655952149,30,17
"exp_n279",0.999269995459174,30,21
"exp_n279",1.006036356175,30,20
"exp_n279",1.02964819788964,30,29
"exp_n279",1.0536083850822,4,0
"exp_n28",0,30,0
"exp_n28",0.694302509635052,30,18
"exp_n28",0.695420477346774,2,0
"exp_n28",0.704412613851558,3,0
"exp_n28",0.708041149070316,30,6
"exp_n28",0.725811012035106,30,21
"exp_n28",0.743153041347095,30,4
"exp_n28",0.748139419483643,2,0
"exp_n28",0.748723882463799,71,0
"exp_n28",0.752182721815813,30,12
"exp_n28",0.76244678437798,3,3
"exp_n28",0.773426094451104,30,5
"exp_n28",0.793845016659834,30,13
"exp_n28",0.805557670218374,30,24
"exp_n28",0.811566928430461,4,0
"exp_n28",0.824025529641293,4,0
"exp_n28",0.834464318197528,1,0
"exp_n28",0.834976321722167,30,6
"exp_n28",0.836753343861758,30,0
"exp_n28",0.846989591880032,30,30
"exp_n28",0.868251255864321,5,0
"exp_n28",0.871494048113818,30,2
"exp_n28",0.889955771998031,30,30
"exp_n28",0.890527483205659,30,4
"exp_n28",0.909769772974107,30,0
"exp_n28",0.921665421194559,17,2
"exp_n28",0.922673967234123,30,1
"exp_n28",0.927653858636274,30,0
"exp_n28",0.931048014441146,73,0
"exp_n28",0.931519549118535,36,1
"exp_n28",0.937122675019744,2,2
"exp_n28",0.937832227738741,30,10
"exp_n28",0.964594648737354,30,27
"exp_n28",0.971229174281071,30,20
"exp_n28",0.98466526923403,30,17
"exp_n28",0.986647381902098,30,11
"exp_n28",0.988782936111761,30,21
"exp_n28",1.0063322160264,30,26
"exp_n28",1.02812369090116,4,1
"exp_n280",0,30,0
"exp_n280",0.682278019860921,30,6
"exp_n280",0.700123058722503,2,0
"exp_n280",0.700381116223376,30,27
"exp_n280",0.738510256498015,30,7
"exp_n280",0.738884539232806,71,0
"exp_n280",0.741022002602478,30,11
"exp_n280",0.747092776023234,2,0
"exp_n280",0.75738985440178,30,23
"exp_n280",0.767296892219785,30,9
"exp_n280",0.767355888603387,3,3
"exp_n280",0.786991002979376,3,0
"exp_n280",0.798327392181965,30,19
"exp_n280",0.806251150141591,5,0
"exp_n280",0.81406178893582,30,4
"exp_n280",0.833175878258644,30,6
"exp_n280",0.835491687551961,1,0
"exp_n280",0.839836697820775,30,4
"exp_n280",0.840804681040809,30,0
"exp_n280",0.847758598347932,30,25
"exp_n280",0.860333109500797,4,0
"exp_n280",0.88303792890809,4,0
"exp_n280",0.883326248436726,30,2
"exp_n280",0.895595769155512,30,30
"exp_n280",0.900435260115769,30,1
"exp_n280",0.903843801040452,17,1
"exp_n280",0.907453488267057,30,1
"exp_n280",0.911383577504642,73,0
"exp_n280",0.928966493022429,36,1
"exp_n280",0.942110293906958,30,30
"exp_n280",0.948931122944186,2,1
"exp_n280",0.961088738090432,30,16
"exp_n280",0.99580612159292,30,26
"exp_n280",1.00106904742921,30,20
"exp_n280",1.00242027542176,30,14
"exp_n280",1.00839015176255,30,12
"exp_n280",1.02607454601023,30,22
"exp_n280",1.05509719042949,30,29
"exp_n280",1.12146647276823,4,0
"exp_n281",0,30,0
"exp_n281",0.673479708978422,30,9
"exp_n281",0.679493868839939,30,20
"exp_n281",0.683294277298114,2,0
"exp_n281",0.717451589961606,30,6
"exp_n281",0.719579463454846,30,10
"exp_n281",0.721117509998186,2,0
"exp_n281",0.723069025871066,30,21
"exp_n281",0.732627426005688,71,0
"exp_n281",0.744671211490434,3,3
"exp_n281",0.749907650169862,30,10
"exp_n281",0.764068736352198,3,0
"exp_n281",0.78742387391753,30,20
"exp_n281",0.808477476586908,1,0
"exp_n281",0.810446556564844,30,1
"exp_n281",0.810826029568359,30,4
"exp_n281",0.81249683342955,5,0
"exp_n281",0.812826381848023,30,2
"exp_n281",0.820399589205456,30,26
"exp_n281",0.827545756621505,4,0
"exp_n281",0.82787645028712,30,3
"exp_n281",0.83261583053812,4,0
"exp_n281",0.864622531740607,30,30
"exp_n281",0.876479346303921,30,0
"exp_n281",0.881766671486715,30,3
"exp_n281",0.887685106522336,17,3
"exp_n281",0.888661533198306,30,1
"exp_n281",0.890298779009681,73,0
"exp_n281",0.898355492552858,30,27
"exp_n281",0.901074611211457,36,3
"exp_n281",0.929622896999799,30,13
"exp_n281",0.93308249213981,2,1
"exp_n281",0.958310815897914,30,27
"exp_n281",0.960430392310522,30,10
"exp_n281",0.967268900703262,30,17
"exp_n281",0.972394019823998,30,21
"exp_n281",0.976782726991096,30,22
"exp_n281",1.0029272817596,30,29
"exp_n281",1.04939142393207,4,2
"exp_n282",0,30,0
"exp_n282",0.68498473757581,30,7
"exp_n282",0.708752262137156,30,22
"exp_n282",0.712744445893074,2,0
"exp_n282",0.733504873271702,30,3
"exp_n282",0.750304459910283,30,10
"exp_n282",0.752017462949887,71,0
"exp_n282",0.754805404833229,2,0
"exp_n282",0.764695709380449,30,24
"exp_n282",0.769909071452958,3,3
"exp_n282",0.772686344982093,30,5
"exp_n282",0.808364442714351,3,0
"exp_n282",0.812033967433682,30,16
"exp_n282",0.815228028575724,5,0
"exp_n282",0.820792177884977,30,1
"exp_n282",0.840679056908624,1,0
"exp_n282",0.843094620755204,30,1
"exp_n282",0.846000534325552,30,1
"exp_n282",0.847873472320937,30,3
"exp_n282",0.850441916323833,30,25
"exp_n282",0.867468441620953,4,0
"exp_n282",0.887068370195221,30,1
"exp_n282",0.895668335531569,30,1
"exp_n282",0.90795786510693,4,0
"exp_n282",0.909258599107176,30,4
"exp_n282",0.910169066091849,73,0
"exp_n282",0.910236271922988,17,3
"exp_n282",0.930175230471164,30,30
"exp_n282",0.935654152950031,36,2
"exp_n282",0.959395426746872,2,1
"exp_n282",0.960336150438231,30,29
"exp_n282",0.962424329041898,30,18
"exp_n282",1.00882470886323,30,24
"exp_n282",1.01479105485152,30,19
"exp_n282",1.01518879285125,30,14
"exp_n282",1.01605770959944,30,16
"exp_n282",1.03316185860506,30,21
"exp_n282",1.07750773273006,30,29
"exp_n282",1.11901753390028,4,1
"exp_n283",0,30,0
