"Dataset Index","Dose","N","Effect"
"exp_n549",0,30,0
"exp_n549",0.695137112842128,2,0
"exp_n549",0.700852412877521,30,23
"exp_n549",0.717086738090314,30,8
"exp_n549",0.718902747139358,30,17
"exp_n549",0.746356313635879,3,0
"exp_n549",0.753330161702319,71,0
"exp_n549",0.755033578114485,30,11
"exp_n549",0.756148012884754,2,0
"exp_n549",0.76093799654888,30,5
"exp_n549",0.770286611662566,3,3
"exp_n549",0.771296462455236,30,8
"exp_n549",0.791842500730126,30,23
"exp_n549",0.819099601550014,30,25
"exp_n549",0.822967396384375,4,0
"exp_n549",0.825804779975842,4,0
"exp_n549",0.836814369295094,30,30
"exp_n549",0.840757480857509,1,0
"exp_n549",0.841021130523381,30,3
"exp_n549",0.841908914101458,30,4
"exp_n549",0.881283815083186,5,0
"exp_n549",0.882185713960306,30,5
"exp_n549",0.898526781018548,30,27
"exp_n549",0.902280347015743,30,1
"exp_n549",0.92110832934519,30,3
"exp_n549",0.933971481317934,36,5
"exp_n549",0.934141171705003,17,0
"exp_n549",0.934150794251468,73,0
"exp_n549",0.937634192209849,30,2
"exp_n549",0.941458543071713,30,4
"exp_n549",0.944031638073463,2,0
"exp_n549",0.95073147562328,30,14
"exp_n549",0.967026958105946,30,27
"exp_n549",0.981676915366391,30,25
"exp_n549",0.985704689280895,30,17
"exp_n549",0.993391401045847,30,12
"exp_n549",0.996790867219967,30,14
"exp_n549",1.02162562337922,30,30
"exp_n549",1.05601832921882,4,0
"exp_n55",0,30,0
"exp_n55",0.660437440724821,30,10
"exp_n55",0.699105697738634,2,0
"exp_n55",0.704122384845989,30,22
"exp_n55",0.71276393852737,30,5
"exp_n55",0.737931264968706,71,0
"exp_n55",0.738664945516722,30,6
"exp_n55",0.739881872049599,2,0
"exp_n55",0.754622705404142,30,20
"exp_n55",0.755607803572988,30,13
"exp_n55",0.76392827656955,3,3
"exp_n55",0.783850768755549,5,0
"exp_n55",0.785732347411581,30,2
"exp_n55",0.799925921496047,3,0
"exp_n55",0.80729819902862,30,23
"exp_n55",0.816472695657134,30,2
"exp_n55",0.821054797665992,1,0
"exp_n55",0.821860423480233,30,2
"exp_n55",0.825286210696588,30,3
"exp_n55",0.842864675036789,30,25
"exp_n55",0.867705827545341,4,0
"exp_n55",0.868308023558316,30,2
"exp_n55",0.872178841197004,30,1
"exp_n55",0.886404197967305,30,2
"exp_n55",0.892286231504208,73,0
"exp_n55",0.894314747308655,17,2
"exp_n55",0.901862761419394,4,0
"exp_n55",0.910440780716677,30,30
"exp_n55",0.918375628828041,36,0
"exp_n55",0.945993312174856,30,13
"exp_n55",0.946804103086578,2,2
"exp_n55",0.953752175728377,30,25
"exp_n55",0.993935446349936,30,28
"exp_n55",0.996433778194871,30,18
"exp_n55",0.999985086839473,30,14
"exp_n55",1.00754072118397,30,14
"exp_n55",1.03643777607206,30,22
"exp_n55",1.0622423150779,30,29
"exp_n55",1.10501247803093,4,0
"exp_n550",0,30,0
"exp_n550",0.685761727404712,2,0
"exp_n550",0.691527145245478,30,22
"exp_n550",0.707659577378237,30,4
"exp_n550",0.710410982832692,30,18
"exp_n550",0.730793766864899,3,0
"exp_n550",0.739402117427174,2,0
"exp_n550",0.739911340597203,71,0
"exp_n550",0.742516210644486,30,5
"exp_n550",0.74880798240669,3,3
"exp_n550",0.759048617800275,30,4
"exp_n550",0.760228574945808,30,6
"exp_n550",0.779125707333366,30,19
"exp_n550",0.796919403412574,30,30
"exp_n550",0.805653825557602,30,22
"exp_n550",0.807219801101334,4,0
"exp_n550",0.8098237407783,4,0
"exp_n550",0.830209720898988,30,3
"exp_n550",0.834172367851595,1,0
"exp_n550",0.836385803920017,30,7
"exp_n550",0.859503048569017,30,2
"exp_n550",0.871934194684061,5,0
"exp_n550",0.88224443899692,30,27
"exp_n550",0.886414454629492,30,3
"exp_n550",0.895290791577362,30,2
"exp_n550",0.906605391825003,73,0
"exp_n550",0.909852101578963,17,2
"exp_n550",0.914239186237174,30,6
"exp_n550",0.920595402305765,30,0
"exp_n550",0.923729976729866,36,3
"exp_n550",0.934761933081749,30,11
"exp_n550",0.935791163301799,2,1
"exp_n550",0.950273653876675,30,25
"exp_n550",0.973449553040513,30,22
"exp_n550",0.975479762060867,30,18
"exp_n550",0.97961819739745,30,17
"exp_n550",0.984894855790083,30,16
"exp_n550",1.00697313624234,30,30
"exp_n550",1.01567946476441,4,2
"exp_n551",0,30,0
"exp_n551",0.707457192478138,30,26
