"","Simulation","BMDSEstimates","order","Model"
"81","exp_n121.bmd",0.644390284918295,"bmdu","ModelAverage"
"82","exp_n122.bmd",0.390149377567763,"bmds","ModelAverage"
"83","exp_n122.bmd",0.212494273003723,"bmdl","ModelAverage"
"84","exp_n122.bmd",0.463789388933252,"bmdu","ModelAverage"
"85","exp_n123.bmd",0.241360048532521,"bmds","ModelAverage"
"86","exp_n123.bmd",0.160111646416647,"bmdl","ModelAverage"
"87","exp_n123.bmd",0.426283446214896,"bmdu","ModelAverage"
"88","exp_n124.bmd",0.403129493178813,"bmds","ModelAverage"
"89","exp_n124.bmd",0.2310692388445,"bmdl","ModelAverage"
"90","exp_n124.bmd",0.512684120802041,"bmdu","ModelAverage"
"91","exp_n125.bmd",0.235726030316672,"bmds","ModelAverage"
"92","exp_n125.bmd",0.127629122740608,"bmdl","ModelAverage"
"93","exp_n125.bmd",0.413816968900414,"bmdu","ModelAverage"
"94","exp_n126.bmd",0.407221226447723,"bmds","ModelAverage"
"95","exp_n126.bmd",0.223789003151622,"bmdl","ModelAverage"
"96","exp_n126.bmd",0.488053827518693,"bmdu","ModelAverage"
"97","exp_n127.bmd",0.422357680718399,"bmds","ModelAverage"
"98","exp_n127.bmd",0.366597409330194,"bmdl","ModelAverage"
"99","exp_n127.bmd",0.61731832479185,"bmdu","ModelAverage"
"100","exp_n128.bmd",0.454938331513524,"bmds","ModelAverage"
"101","exp_n128.bmd",0.365659611879409,"bmdl","ModelAverage"
"102","exp_n128.bmd",0.651762887316291,"bmdu","ModelAverage"
"103","exp_n129.bmd",0.443051019869706,"bmds","ModelAverage"
"104","exp_n129.bmd",0.387074283287625,"bmdl","ModelAverage"
"105","exp_n129.bmd",0.591245940779434,"bmdu","ModelAverage"
"106","exp_n13.bmd",0.243269860824832,"bmds","ModelAverage"
"107","exp_n13.bmd",0.0238598978485412,"bmdl","ModelAverage"
"108","exp_n13.bmd",0.453034152682359,"bmdu","ModelAverage"
"109","exp_n130.bmd",0.601712361132897,"bmds","ModelAverage"
"110","exp_n130.bmd",0.37901412167106,"bmdl","ModelAverage"
"111","exp_n130.bmd",0.697438377871535,"bmdu","ModelAverage"
"112","exp_n131.bmd",0.462883238811218,"bmds","ModelAverage"
"113","exp_n131.bmd",0.41009633506768,"bmdl","ModelAverage"
"114","exp_n131.bmd",0.557394678854155,"bmdu","ModelAverage"
"115","exp_n132.bmd",0.390718806862722,"bmds","ModelAverage"
"116","exp_n132.bmd",0.218271944843843,"bmdl","ModelAverage"
"117","exp_n132.bmd",0.471755299463114,"bmdu","ModelAverage"
"118","exp_n133.bmd",0.394644865369213,"bmds","ModelAverage"
